Generation 0: Best Fitness: 75.84373732337548, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.57237888630937), np.float64(30.179917069647637), np.float64(75.2731522524128)]
Generation 1: Best Fitness: 92.4171335707625, Per-Enemy Fitness: [np.float64(30.882006187583244), np.float64(88.31936107665801), np.float64(39.90624979919324), np.float64(87.03289246928256)]
Generation 2: Best Fitness: 92.4171335707625, Per-Enemy Fitness: [np.float64(30.882006187583244), np.float64(88.31936107665801), np.float64(39.90624979919324), np.float64(87.03289246928256)]
Generation 3: Best Fitness: 92.4171335707625, Per-Enemy Fitness: [np.float64(30.882006187583244), np.float64(88.31936107665801), np.float64(39.90624979919324), np.float64(87.03289246928256)]
Generation 4: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 5: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 6: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 7: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 8: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 9: Best Fitness: 107.31464162795488, Per-Enemy Fitness: [np.float64(39.19486503108351), np.float64(92.17237888630936), np.float64(65.86443510891826), np.float64(75.24742736117437)]
Generation 10: Best Fitness: 100.48737716872881, Per-Enemy Fitness: [np.float64(39.269900217026425), np.float64(91.64704041507838), np.float64(39.17695410451698), np.float64(75.14779752022552)]
Generation 11: Best Fitness: 100.48737716872881, Per-Enemy Fitness: [np.float64(39.269900217026425), np.float64(91.64704041507838), np.float64(39.17695410451698), np.float64(75.14779752022552)]
Generation 12: Best Fitness: 100.48737716872881, Per-Enemy Fitness: [np.float64(39.269900217026425), np.float64(91.64704041507838), np.float64(39.17695410451698), np.float64(75.14779752022552)]
Generation 13: Best Fitness: 100.48737716872881, Per-Enemy Fitness: [np.float64(39.269900217026425), np.float64(91.64704041507838), np.float64(39.17695410451698), np.float64(75.14779752022552)]
Generation 14: Best Fitness: 104.91243164056769, Per-Enemy Fitness: [np.float64(39.15067522005314), np.float64(91.84704041507838), np.float64(56.77940982990026), np.float64(75.26990021702643)]
