
Generation 0 - Best Individual for Enemy 5: Fitness: 92.097882, Player Life: 79.0000000000002, Enemy Life: 0, Time: 331, Gain: 79.0000000000002
Generation 1 - Best Individual for Enemy 5: Fitness: 92.097882, Player Life: 79.0000000000002, Enemy Life: 0, Time: 331, Gain: 79.0000000000002
Generation 2 - Best Individual for Enemy 5: Fitness: 92.097882, Player Life: 79.0000000000002, Enemy Life: 0, Time: 331, Gain: 79.0000000000002
Generation 3 - Best Individual for Enemy 5: Fitness: 92.097882, Player Life: 79.0000000000002, Enemy Life: 0, Time: 331, Gain: 79.0000000000002
Generation 4 - Best Individual for Enemy 5: Fitness: 65.723357, Player Life: 0, Enemy Life: 20.0, Time: 532, Gain: -20.0
Generation 5 - Best Individual for Enemy 5: Fitness: 65.723357, Player Life: 0, Enemy Life: 20.0, Time: 532, Gain: -20.0
Generation 6 - Best Individual for Enemy 5: Fitness: 65.723357, Player Life: 0, Enemy Life: 20.0, Time: 532, Gain: -20.0
Generation 7 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 8 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 9 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 10 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 11 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 12 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 13 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 14 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 15 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 16 - Best Individual for Enemy 5: Fitness: 88.662889, Player Life: 44.800000000000296, Enemy Life: 0, Time: 336, Gain: 44.800000000000296
Generation 17 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 18 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 19 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 20 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 21 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 22 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 23 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 24 - Best Individual for Enemy 5: Fitness: 89.261098, Player Life: 50.20000000000031, Enemy Life: 0, Time: 317, Gain: 50.20000000000031
Generation 25 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 26 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 27 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 28 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 29 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 30 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 31 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 32 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 33 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 34 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 35 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 36 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 37 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 38 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 39 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 40 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 41 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 42 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 43 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 44 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 45 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 46 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 47 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 48 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
Generation 49 - Best Individual for Enemy 5: Fitness: 90.682358, Player Life: 67.6000000000003, Enemy Life: 0, Time: 436, Gain: 67.6000000000003
