
Generation 0 - Best Individual for Enemy 6: Fitness: 12.276415, Player Life: 0, Enemy Life: 80.0, Time: 306, Gain: -80.0
Generation 1 - Best Individual for Enemy 6: Fitness: 12.276415, Player Life: 0, Enemy Life: 80.0, Time: 306, Gain: -80.0
Generation 2 - Best Individual for Enemy 6: Fitness: 12.276415, Player Life: 0, Enemy Life: 80.0, Time: 306, Gain: -80.0
Generation 3 - Best Individual for Enemy 6: Fitness: 12.276415, Player Life: 0, Enemy Life: 80.0, Time: 306, Gain: -80.0
Generation 4 - Best Individual for Enemy 6: Fitness: 75.089203, Player Life: 0, Enemy Life: 10.0, Time: 369, Gain: -10.0
Generation 5 - Best Individual for Enemy 6: Fitness: 75.089203, Player Life: 0, Enemy Life: 10.0, Time: 369, Gain: -10.0
Generation 6 - Best Individual for Enemy 6: Fitness: 75.089203, Player Life: 0, Enemy Life: 10.0, Time: 369, Gain: -10.0
Generation 7 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 8 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 9 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 10 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 11 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 12 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 13 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 14 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 15 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 16 - Best Individual for Enemy 6: Fitness: 86.41704, Player Life: 20.80000000000024, Enemy Life: 0, Time: 288, Gain: 20.80000000000024
Generation 17 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 18 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 19 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 20 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 21 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 22 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 23 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 24 - Best Individual for Enemy 6: Fitness: 84.99289, Player Life: 7.000000000000233, Enemy Life: 0, Time: 301, Gain: 7.000000000000233
Generation 25 - Best Individual for Enemy 6: Fitness: 47.652611, Player Life: 0, Enemy Life: 40.0, Time: 571, Gain: -40.0
Generation 26 - Best Individual for Enemy 6: Fitness: 47.652611, Player Life: 0, Enemy Life: 40.0, Time: 571, Gain: -40.0
Generation 27 - Best Individual for Enemy 6: Fitness: 47.652611, Player Life: 0, Enemy Life: 40.0, Time: 571, Gain: -40.0
Generation 28 - Best Individual for Enemy 6: Fitness: 47.652611, Player Life: 0, Enemy Life: 40.0, Time: 571, Gain: -40.0
Generation 29 - Best Individual for Enemy 6: Fitness: 47.652611, Player Life: 0, Enemy Life: 40.0, Time: 571, Gain: -40.0
