Generation 0: Best Fitness: 82.51934262899597, Per-Enemy Fitness: [np.float64(21.194865031083513), np.float64(91.49061166337202), np.float64(66.17695410451698), np.float64(66.43547959267731)]
Generation 1: Best Fitness: 93.88584713082129, Per-Enemy Fitness: [np.float64(39.013547994715566), np.float64(48.033853260876306), np.float64(74.88853266049732), np.float64(57.55326262833369)]
Generation 2: Best Fitness: 93.88584713082129, Per-Enemy Fitness: [np.float64(39.013547994715566), np.float64(48.033853260876306), np.float64(74.88853266049732), np.float64(57.55326262833369)]
Generation 3: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 4: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 5: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 6: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 7: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 8: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 9: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 10: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 11: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 12: Best Fitness: 122.70922396745863, Per-Enemy Fitness: [np.float64(57.19788162462294), np.float64(56.99858512203885), np.float64(56.74041853593508), np.float64(92.93833644349735)]
Generation 13: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 14: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 15: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 16: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 17: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 18: Best Fitness: 132.05435804802434, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.84704041507838), np.float64(74.77346333071253), np.float64(75.24742736117437)]
Generation 19: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 20: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 21: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 22: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 23: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 24: Best Fitness: 157.43518847664956, Per-Enemy Fitness: [np.float64(75.19788162462294), np.float64(75.20698639161586), np.float64(85.35499468596399), np.float64(93.18936470590376)]
Generation 25: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 26: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 27: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 28: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 29: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 30: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 31: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 32: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 33: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 34: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 35: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 36: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 37: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 38: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 39: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 40: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 41: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 42: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 43: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 44: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 45: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 46: Best Fitness: 163.70396997933454, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.73193985886488), np.float64(74.88410787451697), np.float64(92.87833644349736)]
Generation 47: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 48: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 49: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 50: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 51: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 52: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 53: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 54: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 55: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 56: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 57: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 58: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 59: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 60: Best Fitness: 163.93340464028165, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.69061166337202), np.float64(90.22619038813075), np.float64(75.77964417492167)]
Generation 61: Best Fitness: 179.07673532324702, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.41858578874553), np.float64(92.93833644349735)]
Generation 62: Best Fitness: 179.07673532324702, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.41858578874553), np.float64(92.93833644349735)]
Generation 63: Best Fitness: 179.07673532324702, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.41858578874553), np.float64(92.93833644349735)]
Generation 64: Best Fitness: 179.07673532324702, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.41858578874553), np.float64(92.93833644349735)]
Generation 65: Best Fitness: 179.07673532324702, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.41858578874553), np.float64(92.93833644349735)]
Generation 66: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 67: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 68: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 69: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 70: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 71: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 72: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 73: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 74: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 75: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 76: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 77: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 78: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 79: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 80: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 81: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 82: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 83: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 84: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 85: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 86: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 87: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 88: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 89: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 90: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 91: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 92: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 93: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 94: Best Fitness: 180.74724644477007, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(88.75499468596398), np.float64(92.93833644349735)]
Generation 95: Best Fitness: 180.8822464447701, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.09061166337202), np.float64(88.75499468596398), np.float64(92.87833644349736)]
Generation 96: Best Fitness: 180.8822464447701, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.09061166337202), np.float64(88.75499468596398), np.float64(92.87833644349736)]
Generation 97: Best Fitness: 180.8822464447701, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.09061166337202), np.float64(88.75499468596398), np.float64(92.87833644349736)]
Generation 98: Best Fitness: 180.8822464447701, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.09061166337202), np.float64(88.75499468596398), np.float64(92.87833644349736)]
Generation 99: Best Fitness: 180.8822464447701, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(92.09061166337202), np.float64(88.75499468596398), np.float64(92.87833644349736)]
