
Generation 0 - Best Individual for Enemy 3: Fitness: 22.581159, Player Life: 0, Enemy Life: 70.0, Time: 83, Gain: -70.0
Generation 1 - Best Individual for Enemy 3: Fitness: 22.581159, Player Life: 0, Enemy Life: 70.0, Time: 83, Gain: -70.0
Generation 2 - Best Individual for Enemy 3: Fitness: 22.581159, Player Life: 0, Enemy Life: 70.0, Time: 83, Gain: -70.0
Generation 3 - Best Individual for Enemy 3: Fitness: 22.581159, Player Life: 0, Enemy Life: 70.0, Time: 83, Gain: -70.0
Generation 4 - Best Individual for Enemy 3: Fitness: 85.018586, Player Life: 10, Enemy Life: 0, Time: 396, Gain: 10
Generation 5 - Best Individual for Enemy 3: Fitness: 85.018586, Player Life: 10, Enemy Life: 0, Time: 396, Gain: 10
Generation 6 - Best Individual for Enemy 3: Fitness: 86.621114, Player Life: 26, Enemy Life: 0, Time: 395, Gain: 26
Generation 7 - Best Individual for Enemy 3: Fitness: 86.621114, Player Life: 26, Enemy Life: 0, Time: 395, Gain: 26
Generation 8 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 9 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 10 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 11 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 12 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 13 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 14 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 15 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 16 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 17 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 18 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 19 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 20 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 21 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 22 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 23 - Best Individual for Enemy 3: Fitness: 74.738508, Player Life: 0, Enemy Life: 10.0, Time: 524, Gain: -10.0
Generation 24 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 25 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 26 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 27 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 28 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 29 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 30 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 31 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 32 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 33 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 34 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 35 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 36 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 37 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 38 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 39 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 40 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
Generation 41 - Best Individual for Enemy 3: Fitness: 74.767552, Player Life: 0, Enemy Life: 10.0, Time: 509, Gain: -10.0
