Generation 0: Best Fitness: 75.66240270556773, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(30.179917069647637), np.float64(75.2731522524128)]
Generation 1: Best Fitness: 75.80745791616891, Per-Enemy Fitness: [np.float64(21.25060701409175), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.3062678611973)]
Generation 2: Best Fitness: 75.91240270556773, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.84704041507838), np.float64(30.179917069647637), np.float64(75.2731522524128)]
Generation 3: Best Fitness: 77.91329595703002, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(39.17695410451698), np.float64(75.27968822339258)]
Generation 4: Best Fitness: 78.26646778955688, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(74.59642580206518), np.float64(66.19185751001956), np.float64(65.97655240703897)]
Generation 5: Best Fitness: 78.26646778955688, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(74.59642580206518), np.float64(66.19185751001956), np.float64(65.97655240703897)]
Generation 6: Best Fitness: 85.21104185607774, Per-Enemy Fitness: [np.float64(30.24109822612272), np.float64(66.1888590070233), np.float64(57.17991706964764), np.float64(66.26990021702643)]
Generation 7: Best Fitness: 89.37563137251762, Per-Enemy Fitness: [np.float64(21.231679004206228), np.float64(91.49061166337202), np.float64(84.04090461150807), np.float64(75.81261419415924)]
Generation 8: Best Fitness: 89.676672268548, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.59342407327507), np.float64(75.2731522524128)]
Generation 9: Best Fitness: 89.676672268548, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.59342407327507), np.float64(75.2731522524128)]
Generation 10: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 11: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 12: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 13: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 14: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 15: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 16: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 17: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 18: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 19: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 20: Best Fitness: 84.93986844964896, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(57.21003982910275), np.float64(85.35289246928255)]
Generation 21: Best Fitness: 98.22129520682586, Per-Enemy Fitness: [np.float64(39.165189262937396), np.float64(91.37237888630936), np.float64(39.17991706964764), np.float64(66.50693855665945)]
