Generation 35: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 36: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 37: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 38: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 39: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 40: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 41: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 42: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 43: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 44: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 45: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 46: Best Fitness: 89.82493913722129, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.18322890233343), np.float64(75.27641489804762)]
Generation 47: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 48: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 49: Best Fitness: 89.4740385779846, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.84704041507838), np.float64(85.41003982910274), np.float64(75.28957298262513)]
Generation 50: Best Fitness: 89.53328121905017, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.28297229859378)]
Generation 51: Best Fitness: 89.53328121905017, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.28297229859378)]
Generation 52: Best Fitness: 89.53328121905017, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.28297229859378)]
Generation 53: Best Fitness: 89.53328121905017, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.28297229859378)]
Generation 54: Best Fitness: 89.53328121905017, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.01003982910274), np.float64(75.28297229859378)]
Generation 55: Best Fitness: 89.73328121905016, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.81003982910273), np.float64(75.28297229859378)]
Generation 56: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 57: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 58: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 59: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 60: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 61: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 62: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 63: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 64: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 65: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 66: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
Generation 67: Best Fitness: 89.87412347581258, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(86.38322890233343), np.float64(75.2731522524128)]
