Generation 35: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 36: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 37: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 38: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 39: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 40: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 41: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 42: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 43: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 44: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 45: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 46: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 47: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 48: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 49: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 50: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 51: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 52: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 53: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 54: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 55: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 56: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 57: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 58: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 59: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 60: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 61: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 62: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 63: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 64: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 65: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 66: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 67: Best Fitness: 160.24686270176818, Per-Enemy Fitness: [np.float64(85.80078502622021), np.float64(93.93173296930547), np.float64(74.6318128136495), np.float64(88.09586874329959)]
Generation 68: Best Fitness: 160.53568581958297, Per-Enemy Fitness: [np.float64(87.06510157968519), np.float64(92.77504998251861), np.float64(74.66317426885355), np.float64(88.98672037186034)]
Generation 69: Best Fitness: 160.53568581958297, Per-Enemy Fitness: [np.float64(87.06510157968519), np.float64(92.77504998251861), np.float64(74.66317426885355), np.float64(88.98672037186034)]
Generation 70: Best Fitness: 160.53568581958297, Per-Enemy Fitness: [np.float64(87.06510157968519), np.float64(92.77504998251861), np.float64(74.66317426885355), np.float64(88.98672037186034)]
Generation 71: Best Fitness: 160.53568581958297, Per-Enemy Fitness: [np.float64(87.06510157968519), np.float64(92.77504998251861), np.float64(74.66317426885355), np.float64(88.98672037186034)]
Generation 72: Best Fitness: 160.53568581958297, Per-Enemy Fitness: [np.float64(87.06510157968519), np.float64(92.77504998251861), np.float64(74.66317426885355), np.float64(88.98672037186034)]
Generation 73: Best Fitness: 160.70643185015757, Per-Enemy Fitness: [np.float64(84.90527569016365), np.float64(93.93173296930547), np.float64(74.6249751801719), np.float64(90.86384284030167)]
Generation 74: Best Fitness: 171.8908374960117, Per-Enemy Fitness: [np.float64(85.39962616327607), np.float64(92.77504998251861), np.float64(83.6249751801719), np.float64(91.26379793739258)]
