Generation 0: Best Fitness: 84.36214222988129, Per-Enemy Fitness: [np.float64(84.0649241594004), np.float64(92.63931836898449), np.float64(20.89744140538643), np.float64(56.257119364208094)]
Generation 1: Best Fitness: 84.36214222988129, Per-Enemy Fitness: [np.float64(84.0649241594004), np.float64(92.63931836898449), np.float64(20.89744140538643), np.float64(56.257119364208094)]
Generation 2: Best Fitness: 103.06449034552256, Per-Enemy Fitness: [np.float64(82.81517908743142), np.float64(92.31193985886489), np.float64(29.409698951803314), np.float64(90.08234767677737)]
Generation 3: Best Fitness: 103.06449034552256, Per-Enemy Fitness: [np.float64(82.81517908743142), np.float64(92.31193985886489), np.float64(29.409698951803314), np.float64(90.08234767677737)]
Generation 4: Best Fitness: 103.06449034552256, Per-Enemy Fitness: [np.float64(82.81517908743142), np.float64(92.31193985886489), np.float64(29.409698951803314), np.float64(90.08234767677737)]
Generation 5: Best Fitness: 103.06449034552256, Per-Enemy Fitness: [np.float64(82.81517908743142), np.float64(92.31193985886489), np.float64(29.409698951803314), np.float64(90.08234767677737)]
Generation 6: Best Fitness: 103.06449034552256, Per-Enemy Fitness: [np.float64(82.81517908743142), np.float64(92.31193985886489), np.float64(29.409698951803314), np.float64(90.08234767677737)]
Generation 7: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 8: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 9: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 10: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 11: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 12: Best Fitness: 108.55071826386666, Per-Enemy Fitness: [np.float64(73.90677961290973), np.float64(92.89504998251861), np.float64(38.6249751801719), np.float64(74.27616755917879)]
Generation 13: Best Fitness: 113.5972119060326, Per-Enemy Fitness: [np.float64(39.10559716573515), np.float64(91.56627799644579), np.float64(75.3510257618388), np.float64(91.94355803717008)]
Generation 14: Best Fitness: 113.5972119060326, Per-Enemy Fitness: [np.float64(39.10559716573515), np.float64(91.56627799644579), np.float64(75.3510257618388), np.float64(91.94355803717008)]
Generation 15: Best Fitness: 113.5972119060326, Per-Enemy Fitness: [np.float64(39.10559716573515), np.float64(91.56627799644579), np.float64(75.3510257618388), np.float64(91.94355803717008)]
Generation 16: Best Fitness: 113.5972119060326, Per-Enemy Fitness: [np.float64(39.10559716573515), np.float64(91.56627799644579), np.float64(75.3510257618388), np.float64(91.94355803717008)]
Generation 17: Best Fitness: 132.71250559889197, Per-Enemy Fitness: [np.float64(65.74617118842453), np.float64(91.07550493721095), np.float64(57.35809292906188), np.float64(87.23788162462296)]
Generation 18: Best Fitness: 132.71250559889197, Per-Enemy Fitness: [np.float64(65.74617118842453), np.float64(91.07550493721095), np.float64(57.35809292906188), np.float64(87.23788162462296)]
Generation 19: Best Fitness: 132.71250559889197, Per-Enemy Fitness: [np.float64(65.74617118842453), np.float64(91.07550493721095), np.float64(57.35809292906188), np.float64(87.23788162462296)]
