Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 4, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 74.68283531325271, Player Life: 0, Enemy Life: 10.0, Time: 554, Gain: -10.0
Enemy 5, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 5, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 90.68353644806852, Player Life: 61.600000000000335, Enemy Life: 0, Time: 239, Gain: 61.600000000000335
Enemy 6, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 6, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 75.11667761151172, Player Life: 0, Enemy Life: 10.0, Time: 359, Gain: -10.0
Enemy 7, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 6, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 7, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 8, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 9, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 7, Test Run 10, Run 1, Enemy Group enemies_group_two, Fitness: 75.3062678611973, Player Life: 0, Enemy Life: 10.0, Time: 297, Gain: -10.0
Enemy 8, Test Run 1, Run 1, Enemy Group enemies_group_two, Fitness: 89.53968822339262, Player Life: 52.600000000000314, Enemy Life: 0, Time: 305, Gain: 52.600000000000314
Enemy 8, Test Run 2, Run 1, Enemy Group enemies_group_two, Fitness: 89.53968822339262, Player Life: 52.600000000000314, Enemy Life: 0, Time: 305, Gain: 52.600000000000314
Enemy 8, Test Run 3, Run 1, Enemy Group enemies_group_two, Fitness: 89.53968822339262, Player Life: 52.600000000000314, Enemy Life: 0, Time: 305, Gain: 52.600000000000314
Enemy 8, Test Run 4, Run 1, Enemy Group enemies_group_two, Fitness: 89.53968822339262, Player Life: 52.600000000000314, Enemy Life: 0, Time: 305, Gain: 52.600000000000314
Enemy 8, Test Run 5, Run 1, Enemy Group enemies_group_two, Fitness: 89.53968822339262, Player Life: 52.600000000000314, Enemy Life: 0, Time: 305, Gain: 52.600000000000314
