Generation 35: Best Fitness: 163.12408247615045, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.07307397402958), np.float64(75.82951600496185)]
Generation 36: Best Fitness: 163.12408247615045, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.07307397402958), np.float64(75.82951600496185)]
Generation 37: Best Fitness: 163.12408247615045, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.07307397402958), np.float64(75.82951600496185)]
Generation 38: Best Fitness: 163.12408247615045, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.07307397402958), np.float64(75.82951600496185)]
Generation 39: Best Fitness: 163.38184992841036, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.93703951986404), np.float64(74.78539190157781), np.float64(92.87833644349736)]
Generation 40: Best Fitness: 163.38184992841036, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.93703951986404), np.float64(74.78539190157781), np.float64(92.87833644349736)]
Generation 41: Best Fitness: 163.38184992841036, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.93703951986404), np.float64(74.78539190157781), np.float64(92.87833644349736)]
Generation 42: Best Fitness: 163.38184992841036, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.93703951986404), np.float64(74.78539190157781), np.float64(92.87833644349736)]
Generation 43: Best Fitness: 163.38184992841036, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.93703951986404), np.float64(74.78539190157781), np.float64(92.87833644349736)]
Generation 44: Best Fitness: 163.50779455215164, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(75.23167900420623), np.float64(90.01585110906252), np.float64(92.93833644349735)]
Generation 45: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 46: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 47: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 48: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 49: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 50: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 51: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 52: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 53: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 54: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 55: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 56: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 57: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 58: Best Fitness: 179.10946997546114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(87.46877351051685), np.float64(92.81833644349736)]
Generation 59: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 60: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 61: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 62: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 63: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 64: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 65: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 66: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 67: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 68: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 69: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 70: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 71: Best Fitness: 179.56939036683553, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.64704041507838), np.float64(87.79342407327508), np.float64(92.87833644349736)]
Generation 72: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 73: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 74: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 75: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 76: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 77: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 78: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
Generation 79: Best Fitness: 180.74017729384212, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(92.09061166337202), np.float64(88.61585110906252), np.float64(92.93833644349735)]
