Generation 0: Best Fitness: 88.52359859988462, Per-Enemy Fitness: [np.float64(30.82385026742617), np.float64(85.62951600496184), np.float64(48.427845967822236), np.float64(65.91778108962356)]
Generation 1: Best Fitness: 88.52359859988462, Per-Enemy Fitness: [np.float64(30.82385026742617), np.float64(85.62951600496184), np.float64(48.427845967822236), np.float64(65.91778108962356)]
Generation 2: Best Fitness: 88.52359859988462, Per-Enemy Fitness: [np.float64(30.82385026742617), np.float64(85.62951600496184), np.float64(48.427845967822236), np.float64(65.91778108962356)]
Generation 3: Best Fitness: 88.52359859988462, Per-Enemy Fitness: [np.float64(30.82385026742617), np.float64(85.62951600496184), np.float64(48.427845967822236), np.float64(65.91778108962356)]
Generation 4: Best Fitness: 89.41328686982595, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.57237888630937), np.float64(65.88190280195865), np.float64(93.84936470590375)]
Generation 5: Best Fitness: 89.92688968575106, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.99140997390337), np.float64(75.87603602059674)]
Generation 6: Best Fitness: 89.92688968575106, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(85.99140997390337), np.float64(75.87603602059674)]
Generation 7: Best Fitness: 98.28387054179113, Per-Enemy Fitness: [np.float64(39.159358342626604), np.float64(91.44704041507838), np.float64(39.17991706964764), np.float64(66.71173296930546)]
Generation 8: Best Fitness: 133.258972791123, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.64704041507838), np.float64(88.81791509328337), np.float64(57.26020708782077)]
Generation 9: Best Fitness: 133.258972791123, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.64704041507838), np.float64(88.81791509328337), np.float64(57.26020708782077)]
Generation 10: Best Fitness: 133.258972791123, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.64704041507838), np.float64(88.81791509328337), np.float64(57.26020708782077)]
Generation 11: Best Fitness: 133.258972791123, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.64704041507838), np.float64(88.81791509328337), np.float64(57.26020708782077)]
Generation 12: Best Fitness: 133.258972791123, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.64704041507838), np.float64(88.81791509328337), np.float64(57.26020708782077)]
Generation 13: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 14: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 15: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 16: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 17: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 18: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 19: Best Fitness: 140.5838730572567, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(91.84704041507838), np.float64(89.15499468596398), np.float64(57.282972298593776)]
Generation 20: Best Fitness: 141.60697712500115, Per-Enemy Fitness: [np.float64(66.19788162462294), np.float64(75.1710543823898), np.float64(84.39140997390336), np.float64(75.87603602059674)]
Generation 21: Best Fitness: 141.60697712500115, Per-Enemy Fitness: [np.float64(66.19788162462294), np.float64(75.1710543823898), np.float64(84.39140997390336), np.float64(75.87603602059674)]
Generation 22: Best Fitness: 141.60697712500115, Per-Enemy Fitness: [np.float64(66.19788162462294), np.float64(75.1710543823898), np.float64(84.39140997390336), np.float64(75.87603602059674)]
Generation 23: Best Fitness: 141.60697712500115, Per-Enemy Fitness: [np.float64(66.19788162462294), np.float64(75.1710543823898), np.float64(84.39140997390336), np.float64(75.87603602059674)]
Generation 24: Best Fitness: 147.8746688784949, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(87.0137913760995), np.float64(66.88200618758324)]
Generation 25: Best Fitness: 147.8746688784949, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(87.0137913760995), np.float64(66.88200618758324)]
Generation 26: Best Fitness: 147.8746688784949, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(87.0137913760995), np.float64(66.88200618758324)]
Generation 27: Best Fitness: 147.8746688784949, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(75.22234767677735), np.float64(87.0137913760995), np.float64(66.88200618758324)]
