Generation 0: Best Fitness: 61.906437453387284, Per-Enemy Fitness: [np.float64(12.24109822612272), np.float64(90.04027017401381), np.float64(21.482547103535293), np.float64(74.89744140538643)]
Generation 1: Best Fitness: 79.32306220168115, Per-Enemy Fitness: [np.float64(29.890752417235635), np.float64(90.7118575100196), np.float64(20.828299402589085), np.float64(92.54814186652395)]
Generation 2: Best Fitness: 79.32306220168115, Per-Enemy Fitness: [np.float64(29.890752417235635), np.float64(90.7118575100196), np.float64(20.828299402589085), np.float64(92.54814186652395)]
Generation 3: Best Fitness: 92.14189539043358, Per-Enemy Fitness: [np.float64(30.59282822853988), np.float64(89.1252886203982), np.float64(39.42027017401378), np.float64(87.05788162462296)]
Generation 4: Best Fitness: 92.14189539043358, Per-Enemy Fitness: [np.float64(30.59282822853988), np.float64(89.1252886203982), np.float64(39.42027017401378), np.float64(87.05788162462296)]
Generation 5: Best Fitness: 92.14189539043358, Per-Enemy Fitness: [np.float64(30.59282822853988), np.float64(89.1252886203982), np.float64(39.42027017401378), np.float64(87.05788162462296)]
Generation 6: Best Fitness: 92.14189539043358, Per-Enemy Fitness: [np.float64(30.59282822853988), np.float64(89.1252886203982), np.float64(39.42027017401378), np.float64(87.05788162462296)]
Generation 7: Best Fitness: 98.23662968574615, Per-Enemy Fitness: [np.float64(30.372378886309363), np.float64(90.55052820481508), np.float64(66.12788221052459), np.float64(84.4062138960981)]
Generation 8: Best Fitness: 84.25397128705006, Per-Enemy Fitness: [np.float64(83.3294498414656), np.float64(92.39486503108353), np.float64(56.50473444406299), np.float64(20.957367166317617)]
Generation 9: Best Fitness: 94.44796026743036, Per-Enemy Fitness: [np.float64(30.58835394814496), np.float64(89.30157804100166), np.float64(48.49061166337202), np.float64(87.05788162462296)]
Generation 10: Best Fitness: 96.56835660791205, Per-Enemy Fitness: [np.float64(30.5489615464343), np.float64(89.06528862039819), np.float64(57.22544845445559), np.float64(87.23788162462296)]
Generation 11: Best Fitness: 96.75059629897117, Per-Enemy Fitness: [np.float64(29.723356510658355), np.float64(91.82266573298149), np.float64(57.03899466037673), np.float64(89.52394224923466)]
Generation 12: Best Fitness: 96.75059629897117, Per-Enemy Fitness: [np.float64(29.723356510658355), np.float64(91.82266573298149), np.float64(57.03899466037673), np.float64(89.52394224923466)]
Generation 13: Best Fitness: 97.05509881348385, Per-Enemy Fitness: [np.float64(39.27641489804762), np.float64(86.52090461150809), np.float64(48.33357331188757), np.float64(56.98384284030165)]
Generation 14: Best Fitness: 118.57887284696037, Per-Enemy Fitness: [np.float64(47.99364684039827), np.float64(89.8901190770195), np.float64(57.21925648420767), np.float64(87.23788162462296)]
