
Generation 0 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 1 - Best Individual for Enemy 5: Fitness: 92.394865, Player Life: 82.00000000000017, Enemy Life: 0, Time: 332, Gain: 82.00000000000017
Generation 2 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 3 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 4 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 5 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 6 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 7 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 8 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 9 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 10 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 11 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 12 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 13 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 14 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 15 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 16 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 17 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 18 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 19 - Best Individual for Enemy 5: Fitness: 90.869013, Player Life: 64.60000000000034, Enemy Life: 0, Time: 268, Gain: 64.60000000000034
Generation 20 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 21 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 22 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 23 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 24 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 25 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 26 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 27 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 28 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 29 - Best Individual for Enemy 5: Fitness: 92.819827, Player Life: 85.00000000000014, Enemy Life: 0, Time: 293, Gain: 85.00000000000014
Generation 30 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 31 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 32 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 33 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 34 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 35 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 36 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 37 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 38 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 39 - Best Individual for Enemy 5: Fitness: 90.803536, Player Life: 62.80000000000034, Enemy Life: 0, Time: 239, Gain: 62.80000000000034
Generation 40 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 41 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 42 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 43 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 44 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 45 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 46 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 47 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 48 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
Generation 49 - Best Individual for Enemy 5: Fitness: 91.889262, Player Life: 79.6000000000002, Enemy Life: 0, Time: 433, Gain: 79.6000000000002
