Generation 0: Best Fitness: 51.34646397058173, Per-Enemy Fitness: [30.089203355959473, 91.04901301948917, 21.5028317747068, 12.548961546434299]
Generation 1: Best Fitness: 51.34646397058173, Per-Enemy Fitness: [30.089203355959473, 91.04901301948917, 21.5028317747068, 12.548961546434299]
Generation 2: Best Fitness: 91.69894091204952, Per-Enemy Fitness: [30.519361076658008, 88.56324619773174, 39.37959913428285, 86.25611293289349]
Generation 3: Best Fitness: 92.00500110289761, Per-Enemy Fitness: [30.498741789455273, 89.33642023266135, 39.49466846406764, 86.69520676758503]
Generation 4: Best Fitness: 92.00500110289761, Per-Enemy Fitness: [30.498741789455273, 89.33642023266135, 39.49466846406764, 86.69520676758503]
Generation 5: Best Fitness: 92.00500110289761, Per-Enemy Fitness: [30.498741789455273, 89.33642023266135, 39.49466846406764, 86.69520676758503]
Generation 6: Best Fitness: 92.75991424849067, Per-Enemy Fitness: [30.58835394814496, 90.88657125383506, 39.51520306650934, 87.6961129328935]
Generation 7: Best Fitness: 92.91346253274061, Per-Enemy Fitness: [30.53616819497439, 89.57982739098297, 39.48657125383502, 89.9066105112725]
Generation 8: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 9: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 10: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 11: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 12: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 13: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 14: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 15: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 16: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 17: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 18: Best Fitness: 104.92239004245992, Per-Enemy Fitness: [39.222347676777346, 87.59642023266134, 48.40528862039816, 87.5761129328935]
Generation 19: Best Fitness: 130.51737134763687, Per-Enemy Fitness: [57.09736666659863, 88.77794861721986, 57.35809292906188, 90.44661051127251]
Generation 20: Best Fitness: 130.51737134763687, Per-Enemy Fitness: [57.09736666659863, 88.77794861721986, 57.35809292906188, 90.44661051127251]
Generation 21: Best Fitness: 106.90363946577925, Per-Enemy Fitness: [39.05982874727957, 88.8852886203982, 57.23480889721515, 86.19531660910582]
Generation 22: Best Fitness: 106.90363946577925, Per-Enemy Fitness: [39.05982874727957, 88.8852886203982, 57.23480889721515, 86.19531660910582]
Generation 23: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 24: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 25: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 26: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 27: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 28: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 29: Best Fitness: 107.23170064445073, Per-Enemy Fitness: [39.4316554962389, 89.25650369121833, 57.427845967822236, 85.0841754375678]
Generation 30: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 31: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 32: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 33: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 34: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 35: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 36: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 37: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 38: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 39: Best Fitness: 145.99270657949006, Per-Enemy Fitness: [74.717733253104, 90.51650369121833, 66.19486503108351, 87.7622642182204]
Generation 40: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 41: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 42: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 43: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 44: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 45: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 46: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 47: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 48: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 49: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 50: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 51: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 52: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 53: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 54: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 55: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 56: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 57: Best Fitness: 132.23814801950493, Per-Enemy Fitness: [57.028738160209535, 90.51650369121833, 66.21003982910274, 87.08235775665099]
Generation 58: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 59: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 60: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 61: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 62: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 63: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 64: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 65: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 66: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 67: Best Fitness: 123.10591290160195, Per-Enemy Fitness: [48.136368824401906, 90.28405089685371, 75.21310261863329, 86.24465396891134]
Generation 68: Best Fitness: 123.80697092672932, Per-Enemy Fitness: [48.1888590070233, 90.63650369121832, 75.19788162462294, 88.4492033559595]
Generation 69: Best Fitness: 124.1548734196895, Per-Enemy Fitness: [48.21003982910275, 90.63650369121832, 75.21310261863329, 89.71968822339261]
Generation 70: Best Fitness: 124.1548734196895, Per-Enemy Fitness: [48.21003982910275, 90.63650369121832, 75.21310261863329, 89.71968822339261]
Generation 71: Best Fitness: 124.1548734196895, Per-Enemy Fitness: [48.21003982910275, 90.63650369121832, 75.21310261863329, 89.71968822339261]
Generation 72: Best Fitness: 124.1548734196895, Per-Enemy Fitness: [48.21003982910275, 90.63650369121832, 75.21310261863329, 89.71968822339261]
Generation 73: Best Fitness: 126.09618625663238, Per-Enemy Fitness: [48.10559716573515, 90.63650369121832, 85.87703951986407, 87.34321598677141]
Generation 74: Best Fitness: 132.29513196185246, Per-Enemy Fitness: [57.028738160209535, 89.82687189361195, 66.1888590070233, 88.02110614572688]
Generation 75: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 76: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 77: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 78: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 79: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 80: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 81: Best Fitness: 131.305513757598, Per-Enemy Fitness: [56.88190280195865, 90.63650369121832, 75.30290651349459, 74.87313081588582]
Generation 82: Best Fitness: 132.0932806039679, Per-Enemy Fitness: [56.97897665065047, 90.63650369121832, 66.21617481767026, 86.62556065373064]
Generation 83: Best Fitness: 132.0932806039679, Per-Enemy Fitness: [56.97897665065047, 90.63650369121832, 66.21617481767026, 86.62556065373064]
Generation 84: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 85: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 86: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 87: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 88: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 89: Best Fitness: 132.74286630039563, Per-Enemy Fitness: [56.99858512203885, 90.63650369121832, 66.22234767677735, 89.11968822339261]
Generation 90: Best Fitness: 143.1654162856115, Per-Enemy Fitness: [65.83668519596536, 90.63650369121832, 66.21617481767026, 86.62556065373064]
Generation 91: Best Fitness: 143.1654162856115, Per-Enemy Fitness: [65.83668519596536, 90.63650369121832, 66.21617481767026, 86.62556065373064]
Generation 92: Best Fitness: 143.38039308794038, Per-Enemy Fitness: [65.84514190598358, 90.63650369121832, 66.32324619773172, 87.3361129328935]
Generation 93: Best Fitness: 143.38039308794038, Per-Enemy Fitness: [65.84514190598358, 90.63650369121832, 66.32324619773172, 87.3361129328935]
Generation 94: Best Fitness: 126.88851169236914, Per-Enemy Fitness: [48.19486503108351, 90.04405089685372, 86.63598249381268, 89.89968822339262]
Generation 95: Best Fitness: 143.52745363258822, Per-Enemy Fitness: [65.84090461150807, 90.40027017401381, 66.45873645484157, 88.04628484395722]
Generation 96: Best Fitness: 143.52745363258822, Per-Enemy Fitness: [65.84090461150807, 90.40027017401381, 66.45873645484157, 88.04628484395722]
Generation 97: Best Fitness: 143.52745363258822, Per-Enemy Fitness: [65.84090461150807, 90.40027017401381, 66.45873645484157, 88.04628484395722]
Generation 98: Best Fitness: 143.52745363258822, Per-Enemy Fitness: [65.84090461150807, 90.40027017401381, 66.45873645484157, 88.04628484395722]
Generation 99: Best Fitness: 143.52745363258822, Per-Enemy Fitness: [65.84090461150807, 90.40027017401381, 66.45873645484157, 88.04628484395722]
