
Generation 0 - Best Individual for Enemy 1: Fitness: 21.2699, Player Life: 0, Enemy Life: 70.0, Time: 308, Gain: -70.0
Generation 1 - Best Individual for Enemy 1: Fitness: 21.2699, Player Life: 0, Enemy Life: 70.0, Time: 308, Gain: -70.0
Generation 2 - Best Individual for Enemy 1: Fitness: 3.231679, Player Life: 0, Enemy Life: 90.0, Time: 320, Gain: -90.0
Generation 3 - Best Individual for Enemy 1: Fitness: 3.228559, Player Life: 0, Enemy Life: 90.0, Time: 321, Gain: -90.0
Generation 4 - Best Individual for Enemy 1: Fitness: 21.2699, Player Life: 0, Enemy Life: 70.0, Time: 308, Gain: -70.0
Generation 5 - Best Individual for Enemy 1: Fitness: 48.253797, Player Life: 0, Enemy Life: 40.0, Time: 313, Gain: -40.0
Generation 6 - Best Individual for Enemy 1: Fitness: 48.253797, Player Life: 0, Enemy Life: 40.0, Time: 313, Gain: -40.0
Generation 7 - Best Individual for Enemy 1: Fitness: 48.253797, Player Life: 0, Enemy Life: 40.0, Time: 313, Gain: -40.0
Generation 8 - Best Individual for Enemy 1: Fitness: 48.253797, Player Life: 0, Enemy Life: 40.0, Time: 313, Gain: -40.0
Generation 9 - Best Individual for Enemy 1: Fitness: 48.253797, Player Life: 0, Enemy Life: 40.0, Time: 313, Gain: -40.0
Generation 10 - Best Individual for Enemy 1: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 11 - Best Individual for Enemy 1: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 12 - Best Individual for Enemy 1: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 13 - Best Individual for Enemy 1: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
Generation 14 - Best Individual for Enemy 1: Fitness: 39.176954, Player Life: 0, Enemy Life: 50.0, Time: 338, Gain: -50.0
