
Generation 0 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 1 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 2 - Best Individual for Enemy 3: Fitness: 40.009567, Player Life: 0, Enemy Life: 50.0, Time: 147, Gain: -50.0
Generation 3 - Best Individual for Enemy 3: Fitness: 57.494668, Player Life: 0, Enemy Life: 30.0, Time: 246, Gain: -30.0
Generation 4 - Best Individual for Enemy 3: Fitness: 48.156456, Player Life: 0, Enemy Life: 40.0, Time: 345, Gain: -40.0
Generation 5 - Best Individual for Enemy 3: Fitness: 66.486571, Player Life: 0, Enemy Life: 20.0, Time: 248, Gain: -20.0
Generation 6 - Best Individual for Enemy 3: Fitness: 66.486571, Player Life: 0, Enemy Life: 20.0, Time: 248, Gain: -20.0
Generation 7 - Best Individual for Enemy 3: Fitness: 66.486571, Player Life: 0, Enemy Life: 20.0, Time: 248, Gain: -20.0
Generation 8 - Best Individual for Enemy 3: Fitness: 66.486571, Player Life: 0, Enemy Life: 20.0, Time: 248, Gain: -20.0
Generation 9 - Best Individual for Enemy 3: Fitness: 66.486571, Player Life: 0, Enemy Life: 20.0, Time: 248, Gain: -20.0
Generation 10 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
Generation 11 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
Generation 12 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
Generation 13 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
Generation 14 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
Generation 15 - Best Individual for Enemy 3: Fitness: 88.724654, Player Life: 48, Enemy Life: 0, Time: 435, Gain: 48
