
Generation 0 - Best Individual for Enemy 6: Fitness: 12.127882, Player Life: 0, Enemy Life: 80.0, Time: 355, Gain: -80.0
Generation 1 - Best Individual for Enemy 6: Fitness: 66.185869, Player Life: 0, Enemy Life: 20.0, Time: 335, Gain: -20.0
Generation 2 - Best Individual for Enemy 6: Fitness: 66.185869, Player Life: 0, Enemy Life: 20.0, Time: 335, Gain: -20.0
Generation 3 - Best Individual for Enemy 6: Fitness: 66.185869, Player Life: 0, Enemy Life: 20.0, Time: 335, Gain: -20.0
Generation 4 - Best Individual for Enemy 6: Fitness: 21.147798, Player Life: 0, Enemy Life: 70.0, Time: 348, Gain: -70.0
Generation 5 - Best Individual for Enemy 6: Fitness: 21.147798, Player Life: 0, Enemy Life: 70.0, Time: 348, Gain: -70.0
Generation 6 - Best Individual for Enemy 6: Fitness: 57.566278, Player Life: 0, Enemy Life: 30.0, Time: 229, Gain: -30.0
Generation 7 - Best Individual for Enemy 6: Fitness: 57.566278, Player Life: 0, Enemy Life: 30.0, Time: 229, Gain: -30.0
Generation 8 - Best Individual for Enemy 6: Fitness: 57.566278, Player Life: 0, Enemy Life: 30.0, Time: 229, Gain: -30.0
Generation 9 - Best Individual for Enemy 6: Fitness: 57.566278, Player Life: 0, Enemy Life: 30.0, Time: 229, Gain: -30.0
Generation 10 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 11 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 12 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 13 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 14 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 15 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 16 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 17 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 18 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 19 - Best Individual for Enemy 6: Fitness: 66.557582, Player Life: 0, Enemy Life: 20.0, Time: 231, Gain: -20.0
Generation 20 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 21 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 22 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 23 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 24 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 25 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 26 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 27 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 28 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 29 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 30 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 31 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 32 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 33 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 34 - Best Individual for Enemy 6: Fitness: 75.041575, Player Life: 0, Enemy Life: 10.0, Time: 387, Gain: -10.0
Generation 35 - Best Individual for Enemy 6: Fitness: 84.271054, Player Life: 1.000000000000234, Enemy Life: 0, Time: 340, Gain: 1.000000000000234
Generation 36 - Best Individual for Enemy 6: Fitness: 84.271054, Player Life: 1.000000000000234, Enemy Life: 0, Time: 340, Gain: 1.000000000000234
Generation 37 - Best Individual for Enemy 6: Fitness: 84.271054, Player Life: 1.000000000000234, Enemy Life: 0, Time: 340, Gain: 1.000000000000234
Generation 38 - Best Individual for Enemy 6: Fitness: 84.271054, Player Life: 1.000000000000234, Enemy Life: 0, Time: 340, Gain: 1.000000000000234
Generation 39 - Best Individual for Enemy 6: Fitness: 84.271054, Player Life: 1.000000000000234, Enemy Life: 0, Time: 340, Gain: 1.000000000000234
Generation 40 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 41 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 42 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 43 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 44 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 45 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 46 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 47 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 48 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
Generation 49 - Best Individual for Enemy 6: Fitness: 66.168118, Player Life: 0, Enemy Life: 20.0, Time: 341, Gain: -20.0
