Generation 0: Best Fitness: 81.31808994015438, Per-Enemy Fitness: [np.float64(85.19059106729138), np.float64(92.5576657480352), np.float64(11.993646840398267), np.float64(87.55586874329958)]
Generation 1: Best Fitness: 92.2481374912785, Per-Enemy Fitness: [np.float64(30.38687189361193), np.float64(89.11419793370403), np.float64(38.56545348121254), np.float64(89.37853908213779)]
Generation 2: Best Fitness: 92.2481374912785, Per-Enemy Fitness: [np.float64(30.38687189361193), np.float64(89.11419793370403), np.float64(38.56545348121254), np.float64(89.37853908213779)]
Generation 3: Best Fitness: 92.43005447296031, Per-Enemy Fitness: [np.float64(30.63402398497815), np.float64(89.91275134159977), np.float64(39.579465000727716), np.float64(87.05788162462296)]
Generation 4: Best Fitness: 94.31608222222616, Per-Enemy Fitness: [np.float64(30.58389959779558), np.float64(88.89275134159978), np.float64(48.394197933704), np.float64(87.05788162462296)]
Generation 5: Best Fitness: 94.31608222222616, Per-Enemy Fitness: [np.float64(30.58389959779558), np.float64(88.89275134159978), np.float64(48.394197933704), np.float64(87.05788162462296)]
Generation 6: Best Fitness: 94.46902358995033, Per-Enemy Fitness: [np.float64(30.64341372532799), np.float64(88.94901301948917), np.float64(48.570654371045556), np.float64(87.13935834262664)]
Generation 7: Best Fitness: 94.46902358995033, Per-Enemy Fitness: [np.float64(30.64341372532799), np.float64(88.94901301948917), np.float64(48.570654371045556), np.float64(87.13935834262664)]
Generation 8: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 9: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 10: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 11: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 12: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 13: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 14: Best Fitness: 115.81052917648152, Per-Enemy Fitness: [np.float64(47.234961023219455), np.float64(91.22901301948917), np.float64(47.66140592179681), np.float64(88.17689264854283)]
Generation 15: Best Fitness: 116.74795093053059, Per-Enemy Fitness: [np.float64(48.159358342626604), np.float64(90.47466846406768), np.float64(48.66246192029868), np.float64(87.05788162462296)]
Generation 16: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 17: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 18: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 19: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 20: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 21: Best Fitness: 130.0141466986449, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.86901301948917), np.float64(57.23480889721515), np.float64(87.05788162462296)]
Generation 22: Best Fitness: 143.61001159326176, Per-Enemy Fitness: [np.float64(65.42492415940038), np.float64(90.28964054567598), np.float64(66.5446788846423), np.float64(90.48110614572688)]
Generation 23: Best Fitness: 143.61001159326176, Per-Enemy Fitness: [np.float64(65.42492415940038), np.float64(90.28964054567598), np.float64(66.5446788846423), np.float64(90.48110614572688)]
Generation 24: Best Fitness: 143.61001159326176, Per-Enemy Fitness: [np.float64(65.42492415940038), np.float64(90.28964054567598), np.float64(66.5446788846423), np.float64(90.48110614572688)]
Generation 25: Best Fitness: 143.61001159326176, Per-Enemy Fitness: [np.float64(65.42492415940038), np.float64(90.28964054567598), np.float64(66.5446788846423), np.float64(90.48110614572688)]
Generation 26: Best Fitness: 143.61001159326176, Per-Enemy Fitness: [np.float64(65.42492415940038), np.float64(90.28964054567598), np.float64(66.5446788846423), np.float64(90.48110614572688)]
Generation 27: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 28: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 29: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 30: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 31: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 32: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 33: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 34: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 35: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 36: Best Fitness: 148.70143404623084, Per-Enemy Fitness: [np.float64(86.9499465882019), np.float64(90.60492807779761), np.float64(66.24742736117437), np.float64(86.013724713052)]
Generation 37: Best Fitness: 148.80077255043324, Per-Enemy Fitness: [np.float64(85.90163506406381), np.float64(89.06901301948916), np.float64(66.28626719449063), np.float64(88.80110614572688)]
Generation 38: Best Fitness: 148.80077255043324, Per-Enemy Fitness: [np.float64(85.90163506406381), np.float64(89.06901301948916), np.float64(66.28626719449063), np.float64(88.80110614572688)]
Generation 39: Best Fitness: 160.00543380656754, Per-Enemy Fitness: [np.float64(85.59995543807338), np.float64(88.79026654476807), np.float64(74.75972415482923), np.float64(91.83289246928256)]
Generation 40: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 41: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 42: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 43: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 44: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 45: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 46: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 47: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 48: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 49: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 50: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 51: Best Fitness: 173.60268186218016, Per-Enemy Fitness: [np.float64(87.1835304309518), np.float64(90.45616819497442), np.float64(85.19165549623892), np.float64(90.81275134159978)]
Generation 52: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 53: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 54: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 55: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 56: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 57: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 58: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 59: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 60: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 61: Best Fitness: 173.77912322406104, Per-Enemy Fitness: [np.float64(86.1523116264367), np.float64(89.13650369121832), np.float64(85.65288973525115), np.float64(91.56322890233345)]
Generation 62: Best Fitness: 174.91230991683358, Per-Enemy Fitness: [np.float64(85.56074878798992), np.float64(91.98772657195339), np.float64(89.42772932632856), np.float64(90.43003982910277)]
Generation 63: Best Fitness: 174.91230991683358, Per-Enemy Fitness: [np.float64(85.56074878798992), np.float64(91.98772657195339), np.float64(89.42772932632856), np.float64(90.43003982910277)]
Generation 64: Best Fitness: 174.91230991683358, Per-Enemy Fitness: [np.float64(85.56074878798992), np.float64(91.98772657195339), np.float64(89.42772932632856), np.float64(90.43003982910277)]
Generation 65: Best Fitness: 174.91230991683358, Per-Enemy Fitness: [np.float64(85.56074878798992), np.float64(91.98772657195339), np.float64(89.42772932632856), np.float64(90.43003982910277)]
Generation 66: Best Fitness: 175.05930798651048, Per-Enemy Fitness: [np.float64(87.25789140255021), np.float64(88.83275134159977), np.float64(86.51598249381269), np.float64(91.56667673282853)]
Generation 67: Best Fitness: 175.05930798651048, Per-Enemy Fitness: [np.float64(87.25789140255021), np.float64(88.83275134159977), np.float64(86.51598249381269), np.float64(91.56667673282853)]
Generation 68: Best Fitness: 175.05930798651048, Per-Enemy Fitness: [np.float64(87.25789140255021), np.float64(88.83275134159977), np.float64(86.51598249381269), np.float64(91.56667673282853)]
