Generation 45: Best Fitness: 131.92931543970937, Per-Enemy Fitness: [56.853670742331104, 90.06322890233346, 66.14779752022552, 87.23788162462296]
Generation 46: Best Fitness: 104.01814850692368, Per-Enemy Fitness: [39.37237888630936, 90.42687189361196, 39.40528862039816, 89.37853908213779]
Generation 47: Best Fitness: 104.01814850692368, Per-Enemy Fitness: [39.37237888630936, 90.42687189361196, 39.40528862039816, 89.37853908213779]
Generation 48: Best Fitness: 104.04023692262973, Per-Enemy Fitness: [39.38322890233343, 90.46405089685372, 39.35102576183879, 89.55853908213778]
Generation 49: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 50: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 51: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 52: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 53: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 54: Best Fitness: 107.59991309379046, Per-Enemy Fitness: [39.27968822339259, 89.53788117912033, 57.22544845445559, 87.23788162462296]
Generation 55: Best Fitness: 109.78749690405832, Per-Enemy Fitness: [39.286267194490634, 89.29788117912034, 66.1828888400368, 87.23788162462296]
Generation 56: Best Fitness: 109.78749690405832, Per-Enemy Fitness: [39.286267194490634, 89.29788117912034, 66.1828888400368, 87.23788162462296]
Generation 57: Best Fitness: 115.19430494610555, Per-Enemy Fitness: [39.33357331188757, 90.12687189361196, 84.42394224923466, 89.55853908213778]
Generation 58: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 59: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 60: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 61: Best Fitness: 121.08481781973555, Per-Enemy Fitness: [48.17105438238979, 90.06322890233346, 66.1828888400368, 87.23788162462296]
Generation 62: Best Fitness: 121.64373266782187, Per-Enemy Fitness: [48.165189262937396, 90.01052820481507, 66.17991706964764, 89.55853908213778]
Generation 63: Best Fitness: 123.43606698414746, Per-Enemy Fitness: [48.19486503108351, 90.36687189361196, 75.16518926293739, 87.23788162462296]
Generation 64: Best Fitness: 136.40451630362512, Per-Enemy Fitness: [56.84939723155372, 89.94687189361196, 84.23353194306672, 87.19067522005317]
Generation 65: Best Fitness: 136.40451630362512, Per-Enemy Fitness: [56.84939723155372, 89.94687189361196, 84.23353194306672, 87.19067522005317]
Generation 66: Best Fitness: 118.90868659657077, Per-Enemy Fitness: [48.20394224923463, 90.16405089685372, 57.21310261863329, 87.23788162462296]
Generation 67: Best Fitness: 118.90868659657077, Per-Enemy Fitness: [48.20394224923463, 90.16405089685372, 57.21310261863329, 87.23788162462296]
Generation 68: Best Fitness: 121.13928031187794, Per-Enemy Fitness: [48.17399989261955, 90.28405089685371, 66.16518926293739, 87.23788162462296]
Generation 69: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 70: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 71: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 72: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 73: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 74: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 75: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 76: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 77: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 78: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 79: Best Fitness: 125.00668572459966, Per-Enemy Fitness: [48.17105438238979, 90.12687189361196, 84.68518926293741, 84.35940982990029]
Generation 80: Best Fitness: 125.77330812379174, Per-Enemy Fitness: [48.20090734553948, 90.24687189361195, 84.60394224923465, 87.23788162462296]
Generation 81: Best Fitness: 125.77330812379174, Per-Enemy Fitness: [48.20090734553948, 90.24687189361195, 84.60394224923465, 87.23788162462296]
Generation 82: Best Fitness: 132.22574474698018, Per-Enemy Fitness: [57.01858578874552, 90.40405089685372, 66.16811752271649, 87.23788162462296]
Generation 83: Best Fitness: 147.22714168035714, Per-Enemy Fitness: [65.81998334634743, 90.40405089685372, 85.04518926293741, 84.35940982990029]
Generation 84: Best Fitness: 147.6706110847733, Per-Enemy Fitness: [65.8220558859494, 90.06322890233346, 84.27105438238982, 87.23788162462296]
Generation 85: Best Fitness: 147.6706110847733, Per-Enemy Fitness: [65.8220558859494, 90.06322890233346, 84.27105438238982, 87.23788162462296]
Generation 86: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 87: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 88: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 89: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 90: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 91: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 92: Best Fitness: 125.56604912814723, Per-Enemy Fitness: [48.05982874727957, 90.18322890233347, 84.54394224923465, 87.23788162462296]
Generation 93: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 94: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 95: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 96: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 97: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 98: Best Fitness: 136.175433689462, Per-Enemy Fitness: [56.99364684039827, 90.40405089685372, 84.97003982910276, 84.35940982990029]
Generation 99: Best Fitness: 144.81075747562852, Per-Enemy Fitness: [65.83248350911165, 90.36322890233346, 75.14206684551654, 84.57531660910581]
