Generation 0: Best Fitness: 49.29179113242979, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(21.906249799193237), np.float64(12.59732261812772)]
Generation 1: Best Fitness: 49.29179113242979, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(21.906249799193237), np.float64(12.59732261812772)]
Generation 2: Best Fitness: 77.93538778558539, Per-Enemy Fitness: [np.float64(21.28626719449063), np.float64(90.92901301948918), np.float64(48.33703951986406), np.float64(66.04416263053517)]
Generation 3: Best Fitness: 96.95535445629963, Per-Enemy Fitness: [np.float64(30.52353644806849), np.float64(90.93275134159978), np.float64(57.21310261863329), np.float64(87.05788162462296)]
Generation 4: Best Fitness: 96.95535445629963, Per-Enemy Fitness: [np.float64(30.52353644806849), np.float64(90.93275134159978), np.float64(57.21310261863329), np.float64(87.05788162462296)]
Generation 5: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 6: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 7: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 8: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 9: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 10: Best Fitness: 98.81596570528976, Per-Enemy Fitness: [np.float64(30.62936197187234), np.float64(89.29419793370404), np.float64(65.62668021042299), np.float64(87.1961748176703)]
Generation 11: Best Fitness: 102.85119242072693, Per-Enemy Fitness: [np.float64(39.216174817670264), np.float64(88.71275134159977), np.float64(39.55326262833369), np.float64(87.05788162462296)]
Generation 12: Best Fitness: 105.27707330860093, Per-Enemy Fitness: [np.float64(48.041575306970216), np.float64(89.31650369121833), np.float64(39.33357331188757), np.float64(87.08234767677737)]
Generation 13: Best Fitness: 105.27707330860093, Per-Enemy Fitness: [np.float64(48.041575306970216), np.float64(89.31650369121833), np.float64(39.33357331188757), np.float64(87.08234767677737)]
Generation 14: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 15: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 16: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 17: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 18: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 19: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 20: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 21: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 22: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 23: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 24: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 25: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 26: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 27: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 28: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 29: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 30: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 31: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 32: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 33: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 34: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 35: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 36: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 37: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 38: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 39: Best Fitness: 132.08796744620045, Per-Enemy Fitness: [np.float64(65.81998334634743), np.float64(89.19650369121833), np.float64(57.25060701409175), np.float64(87.08234767677737)]
Generation 40: Best Fitness: 133.87186166568986, Per-Enemy Fitness: [np.float64(56.86443510891826), np.float64(89.01275134159977), np.float64(75.09463815194543), np.float64(87.05788162462296)]
Generation 41: Best Fitness: 143.43847585688013, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.18157804100166), np.float64(66.11112204166712), np.float64(89.35092391510481)]
Generation 42: Best Fitness: 143.43847585688013, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.18157804100166), np.float64(66.11112204166712), np.float64(89.35092391510481)]
Generation 43: Best Fitness: 143.43847585688013, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.18157804100166), np.float64(66.11112204166712), np.float64(89.35092391510481)]
Generation 44: Best Fitness: 143.43847585688013, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.18157804100166), np.float64(66.11112204166712), np.float64(89.35092391510481)]
Generation 45: Best Fitness: 143.43847585688013, Per-Enemy Fitness: [np.float64(65.8220558859494), np.float64(89.18157804100166), np.float64(66.11112204166712), np.float64(89.35092391510481)]
Generation 46: Best Fitness: 144.25155979966507, Per-Enemy Fitness: [np.float64(65.72147857583415), np.float64(88.88157804100166), np.float64(75.1710543823898), np.float64(84.34621389609809)]
Generation 47: Best Fitness: 144.6888718111045, Per-Enemy Fitness: [np.float64(74.69921420533676), np.float64(88.8252886203982), np.float64(66.17695410451698), np.float64(84.34621389609809)]
Generation 48: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 49: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 50: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 51: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 52: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 53: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 54: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 55: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 56: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 57: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 58: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 59: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 60: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 61: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
Generation 62: Best Fitness: 133.73369574241488, Per-Enemy Fitness: [np.float64(56.74809611683411), np.float64(88.95650369121833), np.float64(75.17991706964764), np.float64(87.05788162462296)]
