EA_base_islands_model at Generation 9, Population reduced to 20
EA_base_islands_model at Generation 28, Population reduced to 20
EA_base_islands_model at Generation 46, Population reduced to 20
EA_base_islands_model at Generation 66, Population reduced to 20
EA_base_islands_model at Generation 85, Population reduced to 20
EA_base_islands_model at Generation 103, Population reduced to 20
EA_base_islands_model at Generation 122, Population reduced to 20
EA_base_islands_model at Generation 141, Population reduced to 20
EA_base_islands_model at Generation 161, Population reduced to 20
EA_base_islands_model at Generation 176, Population reduced to 20
EA_base_islands_model at Generation 193, Population reduced to 20
EA_base_islands_model at Generation 207, Population reduced to 20
EA_base_islands_model at Generation 228, Population reduced to 20
