
Generation 0 - Best Individual for Enemy 7: Fitness: 75.672124, Player Life: 0, Enemy Life: 10.0, Time: 206, Gain: -10.0
Generation 1 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 2 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 3 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 4 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 5 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 6 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 7 - Best Individual for Enemy 7: Fitness: 86.972892, Player Life: 23.200000000000244, Enemy Life: 0, Time: 210, Gain: 23.200000000000244
Generation 8 - Best Individual for Enemy 7: Fitness: 75.219256, Player Life: 0, Enemy Life: 10.0, Time: 324, Gain: -10.0
Generation 9 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 10 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 11 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 12 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 13 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 14 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 15 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 16 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 17 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 18 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 19 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 20 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 21 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 22 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 23 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 24 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 25 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 26 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 27 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 28 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 29 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 30 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 31 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 32 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 33 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 34 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 35 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 36 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 37 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 38 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 39 - Best Individual for Enemy 7: Fitness: 84.752892, Player Life: 1.000000000000234, Enemy Life: 0, Time: 210, Gain: 1.000000000000234
Generation 40 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 41 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 42 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 43 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 44 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 45 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 46 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 47 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 48 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
Generation 49 - Best Individual for Enemy 7: Fitness: 94.089365, Player Life: 91.00000000000009, Enemy Life: 0, Time: 150, Gain: 91.00000000000009
