Generation 0: Best Fitness: 75.82167213531352, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.26665872310225)]
Generation 1: Best Fitness: 76.66008505610709, Per-Enemy Fitness: [np.float64(21.253796809459846), np.float64(84.9750499825186), np.float64(30.64341372532799), np.float64(84.75289246928256)]
Generation 2: Best Fitness: 82.44338900032295, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(57.168117522716486), np.float64(74.8137913760995)]
Generation 3: Best Fitness: 82.44338900032295, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(57.168117522716486), np.float64(74.8137913760995)]
Generation 4: Best Fitness: 89.26634418019609, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.77237888630937), np.float64(84.65060701409175), np.float64(75.29288973525112)]
Generation 5: Best Fitness: 89.26634418019609, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.77237888630937), np.float64(84.65060701409175), np.float64(75.29288973525112)]
Generation 6: Best Fitness: 89.26634418019609, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(90.77237888630937), np.float64(84.65060701409175), np.float64(75.29288973525112)]
Generation 7: Best Fitness: 89.70689094980449, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(86.06660195700336), np.float64(74.96931473973873)]
Generation 8: Best Fitness: 82.44338900032295, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(57.168117522716486), np.float64(74.8137913760995)]
Generation 9: Best Fitness: 82.44338900032295, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(57.168117522716486), np.float64(74.8137913760995)]
Generation 10: Best Fitness: 82.44338900032295, Per-Enemy Fitness: [np.float64(21.260207087820767), np.float64(91.49061166337202), np.float64(57.168117522716486), np.float64(74.8137913760995)]
Generation 11: Best Fitness: 94.00270397288918, Per-Enemy Fitness: [np.float64(39.14206684551654), np.float64(57.28957298262513), np.float64(74.74424995824663), np.float64(48.26665872310225)]
Generation 12: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 13: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 14: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 15: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 16: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 17: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 18: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 19: Best Fitness: 95.87761969665885, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.13703951986405), np.float64(74.74424995824663), np.float64(66.27968822339258)]
Generation 20: Best Fitness: 109.96059578920327, Per-Enemy Fitness: [np.float64(48.17991706964764), np.float64(75.1194670135993), np.float64(48.17991706964764), np.float64(75.64341372532799)]
Generation 21: Best Fitness: 112.1542872560609, Per-Enemy Fitness: [np.float64(66.20394224923463), np.float64(66.22234767677735), np.float64(48.182888840036796), np.float64(75.27641489804762)]
Generation 22: Best Fitness: 112.1542872560609, Per-Enemy Fitness: [np.float64(66.20394224923463), np.float64(66.22234767677735), np.float64(48.182888840036796), np.float64(75.27641489804762)]
Generation 23: Best Fitness: 112.1542872560609, Per-Enemy Fitness: [np.float64(66.20394224923463), np.float64(66.22234767677735), np.float64(48.182888840036796), np.float64(75.27641489804762)]
Generation 24: Best Fitness: 112.51128843045413, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(48.29288973525112), np.float64(85.04090461150807), np.float64(66.26990021702643)]
Generation 25: Best Fitness: 112.51128843045413, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(48.29288973525112), np.float64(85.04090461150807), np.float64(66.26990021702643)]
Generation 26: Best Fitness: 127.75430668391337, Per-Enemy Fitness: [np.float64(57.20394224923463), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26665872310225)]
Generation 27: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 28: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 29: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 30: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 31: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 32: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 33: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 34: Best Fitness: 114.00900837544098, Per-Enemy Fitness: [np.float64(48.14206684551654), np.float64(91.64704041507838), np.float64(48.17991706964764), np.float64(75.49874178945527)]
Generation 35: Best Fitness: 120.6681841880339, Per-Enemy Fitness: [np.float64(66.16811752271649), np.float64(57.168117522716486), np.float64(56.76755198344948), np.float64(75.49874178945527)]
Generation 36: Best Fitness: 120.6681841880339, Per-Enemy Fitness: [np.float64(66.16811752271649), np.float64(57.168117522716486), np.float64(56.76755198344948), np.float64(75.49874178945527)]
Generation 37: Best Fitness: 120.6681841880339, Per-Enemy Fitness: [np.float64(66.16811752271649), np.float64(57.168117522716486), np.float64(56.76755198344948), np.float64(75.49874178945527)]
Generation 38: Best Fitness: 120.6681841880339, Per-Enemy Fitness: [np.float64(66.16811752271649), np.float64(57.168117522716486), np.float64(56.76755198344948), np.float64(75.49874178945527)]
Generation 39: Best Fitness: 123.42246201179015, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(75.20394224923463), np.float64(57.17991706964764), np.float64(75.31642023266132)]
Generation 40: Best Fitness: 123.42246201179015, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(75.20394224923463), np.float64(57.17991706964764), np.float64(75.31642023266132)]
Generation 41: Best Fitness: 123.42246201179015, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(75.20394224923463), np.float64(57.17991706964764), np.float64(75.31642023266132)]
Generation 42: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 43: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 44: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 45: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 46: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 47: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 48: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 49: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 50: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 51: Best Fitness: 130.02160654934235, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(92.64704041507838), np.float64(57.17991706964764), np.float64(75.26990021702643)]
Generation 52: Best Fitness: 141.00423259783514, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(91.57237888630937), np.float64(66.1828888400368), np.float64(75.26990021702643)]
Generation 53: Best Fitness: 141.00423259783514, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(91.57237888630937), np.float64(66.1828888400368), np.float64(75.26990021702643)]
Generation 54: Best Fitness: 141.00423259783514, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(91.57237888630937), np.float64(66.1828888400368), np.float64(75.26990021702643)]
Generation 55: Best Fitness: 141.00423259783514, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(91.57237888630937), np.float64(66.1828888400368), np.float64(75.26990021702643)]
Generation 56: Best Fitness: 141.00423259783514, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(91.57237888630937), np.float64(66.1828888400368), np.float64(75.26990021702643)]
Generation 57: Best Fitness: 141.44904103237369, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(93.33193985886487), np.float64(66.1828888400368), np.float64(75.28957298262513)]
Generation 58: Best Fitness: 141.44904103237369, Per-Enemy Fitness: [np.float64(66.26020708782076), np.float64(93.33193985886487), np.float64(66.1828888400368), np.float64(75.28957298262513)]
