Generation 35: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 36: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 37: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 38: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 39: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 40: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 41: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 42: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 43: Best Fitness: 144.79832047904858, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(90.50901301948917), np.float64(75.1335319430667), np.float64(84.34621389609809)]
Generation 44: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 45: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 46: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 47: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 48: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 49: Best Fitness: 131.49382763565245, Per-Enemy Fitness: [np.float64(56.906430229954864), np.float64(89.53788117912033), np.float64(66.10559716573515), np.float64(85.79968104797996)]
Generation 50: Best Fitness: 131.65307882289204, Per-Enemy Fitness: [np.float64(56.84939723155372), np.float64(89.12157804100165), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 51: Best Fitness: 131.65307882289204, Per-Enemy Fitness: [np.float64(56.84939723155372), np.float64(89.12157804100165), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 52: Best Fitness: 131.65307882289204, Per-Enemy Fitness: [np.float64(56.84939723155372), np.float64(89.12157804100165), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 53: Best Fitness: 131.65307882289204, Per-Enemy Fitness: [np.float64(56.84939723155372), np.float64(89.12157804100165), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 54: Best Fitness: 142.10822620541714, Per-Enemy Fitness: [np.float64(65.7480961168341), np.float64(88.76157804100166), np.float64(66.11112204166712), np.float64(84.81972415482925)]
Generation 55: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 56: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
