Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 2, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 2, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 91.49061166337202, Player Life: 70, Enemy Life: 0, Time: 247, Gain: 70
Enemy 3, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 3, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 90.7911868145574, Player Life: 68, Enemy Life: 0, Time: 407, Gain: 68
Enemy 4, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 6, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 7, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 8, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 9, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 4, Test Run 10, Run 2, Enemy Group enemies_group_one, Fitness: 21.00106343805332, Player Life: 0, Enemy Life: 70.0, Time: 403, Gain: -70.0
Enemy 5, Test Run 1, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 2, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 3, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 4, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
Enemy 5, Test Run 5, Run 2, Enemy Group enemies_group_one, Fitness: 93.31065437104557, Player Life: 87.40000000000012, Enemy Life: 0, Time: 228, Gain: 87.40000000000012
