
Generation 0 - Best Individual for Enemy 8: Fitness: 87.139358, Player Life: 29.80000000000026, Enemy Life: 0, Time: 344, Gain: 29.80000000000026
Generation 1 - Best Individual for Enemy 8: Fitness: 87.139358, Player Life: 29.80000000000026, Enemy Life: 0, Time: 344, Gain: 29.80000000000026
Generation 2 - Best Individual for Enemy 8: Fitness: 87.139358, Player Life: 29.80000000000026, Enemy Life: 0, Time: 344, Gain: 29.80000000000026
Generation 3 - Best Individual for Enemy 8: Fitness: 87.139358, Player Life: 29.80000000000026, Enemy Life: 0, Time: 344, Gain: 29.80000000000026
Generation 4 - Best Individual for Enemy 8: Fitness: 89.479688, Player Life: 52.00000000000031, Enemy Life: 0, Time: 305, Gain: 52.00000000000031
Generation 5 - Best Individual for Enemy 8: Fitness: 89.479688, Player Life: 52.00000000000031, Enemy Life: 0, Time: 305, Gain: 52.00000000000031
Generation 6 - Best Individual for Enemy 8: Fitness: 86.755744, Player Life: 26.800000000000253, Enemy Life: 0, Time: 374, Gain: 26.800000000000253
Generation 7 - Best Individual for Enemy 8: Fitness: 86.755744, Player Life: 26.800000000000253, Enemy Life: 0, Time: 374, Gain: 26.800000000000253
Generation 8 - Best Individual for Enemy 8: Fitness: 84.346214, Player Life: 5.200000000000234, Enemy Life: 0, Time: 480, Gain: 5.200000000000234
Generation 9 - Best Individual for Enemy 8: Fitness: 84.466214, Player Life: 6.400000000000233, Enemy Life: 0, Time: 480, Gain: 6.400000000000233
Generation 10 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 11 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 12 - Best Individual for Enemy 8: Fitness: 87.177882, Player Life: 29.80000000000026, Enemy Life: 0, Time: 331, Gain: 29.80000000000026
Generation 13 - Best Individual for Enemy 8: Fitness: 88.08672, Player Life: 44.200000000000294, Enemy Life: 0, Time: 563, Gain: 44.200000000000294
Generation 14 - Best Individual for Enemy 8: Fitness: 88.08672, Player Life: 44.200000000000294, Enemy Life: 0, Time: 563, Gain: 44.200000000000294
Generation 15 - Best Individual for Enemy 8: Fitness: 88.08672, Player Life: 44.200000000000294, Enemy Life: 0, Time: 563, Gain: 44.200000000000294
Generation 16 - Best Individual for Enemy 8: Fitness: 88.08672, Player Life: 44.200000000000294, Enemy Life: 0, Time: 563, Gain: 44.200000000000294
Generation 17 - Best Individual for Enemy 8: Fitness: 88.08672, Player Life: 44.200000000000294, Enemy Life: 0, Time: 563, Gain: 44.200000000000294
Generation 18 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 19 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 20 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 21 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 22 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 23 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 24 - Best Individual for Enemy 8: Fitness: 90.805289, Player Life: 64.00000000000034, Enemy Life: 0, Time: 269, Gain: 64.00000000000034
Generation 25 - Best Individual for Enemy 8: Fitness: 90.239745, Player Life: 62.80000000000034, Enemy Life: 0, Time: 420, Gain: 62.80000000000034
Generation 26 - Best Individual for Enemy 8: Fitness: 90.239745, Player Life: 62.80000000000034, Enemy Life: 0, Time: 420, Gain: 62.80000000000034
Generation 27 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 28 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 29 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 30 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 31 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 32 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 33 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 34 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 35 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 36 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 37 - Best Individual for Enemy 8: Fitness: 85.728064, Player Life: 25.00000000000025, Enemy Life: 0, Time: 873, Gain: 25.00000000000025
Generation 38 - Best Individual for Enemy 8: Fitness: 88.1892, Player Life: 46.6000000000003, Enemy Life: 0, Time: 646, Gain: 46.6000000000003
Generation 39 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 40 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 41 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 42 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 43 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 44 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 45 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 46 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 47 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 48 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
Generation 49 - Best Individual for Enemy 8: Fitness: 90.057367, Player Life: 61.000000000000334, Enemy Life: 0, Time: 421, Gain: 61.000000000000334
