Generation 0: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 1: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 2: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 3: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 4: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 5: Best Fitness: 122.87077222748059, Per-Enemy Fitness: [np.float64(73.80857066996361), np.float64(92.72400818918015), np.float64(47.862272945913766), np.float64(85.63914532120981)]
Generation 6: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 7: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 8: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 9: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 10: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 11: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 12: Best Fitness: 93.33912660710789, Per-Enemy Fitness: [np.float64(30.435479592677307), np.float64(88.9452886203982), np.float64(48.3062678611973), np.float64(83.9275519834495)]
Generation 13: Best Fitness: 98.85115553962987, Per-Enemy Fitness: [np.float64(30.527729326328526), np.float64(89.59419793370404), np.float64(66.11389596854984), np.float64(87.05788162462296)]
Generation 14: Best Fitness: 100.37743192267602, Per-Enemy Fitness: [np.float64(30.28957298262513), np.float64(89.18157804100166), np.float64(75.17399989261955), np.float64(85.70628484395722)]
Generation 15: Best Fitness: 115.6421256954761, Per-Enemy Fitness: [np.float64(87.92497518017193), np.float64(90.28405089685371), np.float64(39.62472159231584), np.float64(86.23586874329958)]
Generation 16: Best Fitness: 115.6421256954761, Per-Enemy Fitness: [np.float64(87.92497518017193), np.float64(90.28405089685371), np.float64(39.62472159231584), np.float64(86.23586874329958)]
Generation 17: Best Fitness: 115.6421256954761, Per-Enemy Fitness: [np.float64(87.92497518017193), np.float64(90.28405089685371), np.float64(39.62472159231584), np.float64(86.23586874329958)]
Generation 18: Best Fitness: 115.6421256954761, Per-Enemy Fitness: [np.float64(87.92497518017193), np.float64(90.28405089685371), np.float64(39.62472159231584), np.float64(86.23586874329958)]
Generation 19: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 20: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 21: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 22: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 23: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 24: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 25: Best Fitness: 119.15996894614275, Per-Enemy Fitness: [np.float64(57.001063438053315), np.float64(90.64657125383506), np.float64(48.38687189361193), np.float64(87.05788162462296)]
Generation 26: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 27: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 28: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 29: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 30: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 31: Best Fitness: 120.93124881898646, Per-Enemy Fitness: [np.float64(48.057200624873296), np.float64(90.18322890233347), np.float64(66.19788162462294), np.float64(87.05788162462296)]
Generation 32: Best Fitness: 129.27744024772525, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.66472159231587), np.float64(57.20394224923463), np.float64(84.34621389609809)]
Generation 33: Best Fitness: 129.27744024772525, Per-Enemy Fitness: [np.float64(56.97897665065047), np.float64(90.66472159231587), np.float64(57.20394224923463), np.float64(84.34621389609809)]
Generation 34: Best Fitness: 132.3088147133455, Per-Enemy Fitness: [np.float64(57.026190388130736), np.float64(90.86353644806852), np.float64(66.1828888400368), np.float64(87.05788162462296)]
Generation 35: Best Fitness: 132.3088147133455, Per-Enemy Fitness: [np.float64(57.026190388130736), np.float64(90.86353644806852), np.float64(66.1828888400368), np.float64(87.05788162462296)]
Generation 36: Best Fitness: 132.3088147133455, Per-Enemy Fitness: [np.float64(57.026190388130736), np.float64(90.86353644806852), np.float64(66.1828888400368), np.float64(87.05788162462296)]
Generation 37: Best Fitness: 132.3088147133455, Per-Enemy Fitness: [np.float64(57.026190388130736), np.float64(90.86353644806852), np.float64(66.1828888400368), np.float64(87.05788162462296)]
Generation 38: Best Fitness: 132.3088147133455, Per-Enemy Fitness: [np.float64(57.026190388130736), np.float64(90.86353644806852), np.float64(66.1828888400368), np.float64(87.05788162462296)]
Generation 39: Best Fitness: 145.23378772309178, Per-Enemy Fitness: [np.float64(65.84090461150807), np.float64(89.47788117912033), np.float64(75.19486503108351), np.float64(87.05788162462296)]
Generation 40: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 41: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 42: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 43: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 44: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 45: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 46: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
Generation 47: Best Fitness: 120.55135689874837, Per-Enemy Fitness: [np.float64(47.97413402617469), np.float64(89.23788117912034), np.float64(66.03899466037673), np.float64(87.05788162462296)]
