Generation 0: Best Fitness: 58.75071471139995, Per-Enemy Fitness: [np.float64(21.706695175275506), np.float64(20.84514190598358), np.float64(21.93109579777977), np.float64(87.13935834262664)]
Generation 1: Best Fitness: 76.42739901180886, Per-Enemy Fitness: [np.float64(21.701682633451963), np.float64(88.14322890233346), np.float64(21.918595635015535), np.float64(87.13935834262664)]
Generation 2: Best Fitness: 76.42739901180886, Per-Enemy Fitness: [np.float64(21.701682633451963), np.float64(88.14322890233346), np.float64(21.918595635015535), np.float64(87.13935834262664)]
Generation 3: Best Fitness: 95.26616940147375, Per-Enemy Fitness: [np.float64(38.57675303646648), np.float64(92.40379793739258), np.float64(39.368788218178636), np.float64(56.40832626799134)]
Generation 4: Best Fitness: 95.26616940147375, Per-Enemy Fitness: [np.float64(38.57675303646648), np.float64(92.40379793739258), np.float64(39.368788218178636), np.float64(56.40832626799134)]
Generation 5: Best Fitness: 115.26289371553493, Per-Enemy Fitness: [np.float64(86.01875487764953), np.float64(92.03788162462295), np.float64(38.70105075314406), np.float64(89.4896845941469)]
Generation 6: Best Fitness: 115.26289371553493, Per-Enemy Fitness: [np.float64(86.01875487764953), np.float64(92.03788162462295), np.float64(38.70105075314406), np.float64(89.4896845941469)]
Generation 7: Best Fitness: 115.26289371553493, Per-Enemy Fitness: [np.float64(86.01875487764953), np.float64(92.03788162462295), np.float64(38.70105075314406), np.float64(89.4896845941469)]
Generation 8: Best Fitness: 115.26289371553493, Per-Enemy Fitness: [np.float64(86.01875487764953), np.float64(92.03788162462295), np.float64(38.70105075314406), np.float64(89.4896845941469)]
Generation 9: Best Fitness: 89.74872077002183, Per-Enemy Fitness: [np.float64(30.63402398497815), np.float64(89.59052820481507), np.float64(29.88631782016777), np.float64(89.3387417894553)]
Generation 10: Best Fitness: 90.54456415296431, Per-Enemy Fitness: [np.float64(30.53616819497439), np.float64(89.37650369121833), np.float64(30.65766574803519), np.float64(89.46324619773175)]
Generation 11: Best Fitness: 90.54456415296431, Per-Enemy Fitness: [np.float64(30.53616819497439), np.float64(89.37650369121833), np.float64(30.65766574803519), np.float64(89.46324619773175)]
Generation 12: Best Fitness: 99.03705069429662, Per-Enemy Fitness: [np.float64(30.40528862039816), np.float64(90.86901301948917), np.float64(66.19486503108351), np.float64(87.05788162462296)]
Generation 13: Best Fitness: 99.03705069429662, Per-Enemy Fitness: [np.float64(30.40528862039816), np.float64(90.86901301948917), np.float64(66.19486503108351), np.float64(87.05788162462296)]
Generation 14: Best Fitness: 99.03705069429662, Per-Enemy Fitness: [np.float64(30.40528862039816), np.float64(90.86901301948917), np.float64(66.19486503108351), np.float64(87.05788162462296)]
Generation 15: Best Fitness: 99.03705069429662, Per-Enemy Fitness: [np.float64(30.40528862039816), np.float64(90.86901301948917), np.float64(66.19486503108351), np.float64(87.05788162462296)]
Generation 16: Best Fitness: 99.03705069429662, Per-Enemy Fitness: [np.float64(30.40528862039816), np.float64(90.86901301948917), np.float64(66.19486503108351), np.float64(87.05788162462296)]
Generation 17: Best Fitness: 103.58907586959305, Per-Enemy Fitness: [np.float64(39.32324619773172), np.float64(91.12027017401381), np.float64(39.56192069107681), np.float64(87.05788162462296)]
Generation 18: Best Fitness: 103.58907586959305, Per-Enemy Fitness: [np.float64(39.32324619773172), np.float64(91.12027017401381), np.float64(39.56192069107681), np.float64(87.05788162462296)]
Generation 19: Best Fitness: 103.58907586959305, Per-Enemy Fitness: [np.float64(39.32324619773172), np.float64(91.12027017401381), np.float64(39.56192069107681), np.float64(87.05788162462296)]
Generation 20: Best Fitness: 121.1037168485487, Per-Enemy Fitness: [np.float64(48.03642065638155), np.float64(90.98901301948916), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 21: Best Fitness: 121.1037168485487, Per-Enemy Fitness: [np.float64(48.03642065638155), np.float64(90.98901301948916), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 22: Best Fitness: 121.1037168485487, Per-Enemy Fitness: [np.float64(48.03642065638155), np.float64(90.98901301948916), np.float64(66.18586946817493), np.float64(87.05788162462296)]
Generation 23: Best Fitness: 143.27503974311134, Per-Enemy Fitness: [np.float64(65.83668519596536), np.float64(90.63650369121832), np.float64(66.22234767677735), np.float64(87.05788162462296)]
Generation 24: Best Fitness: 143.27503974311134, Per-Enemy Fitness: [np.float64(65.83668519596536), np.float64(90.63650369121832), np.float64(66.22234767677735), np.float64(87.05788162462296)]
