
Generation 0 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 1 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 2 - Best Individual for Enemy 3: Fitness: 48.924826, Player Life: 0, Enemy Life: 40.0, Time: 160, Gain: -40.0
Generation 3 - Best Individual for Enemy 3: Fitness: 48.924826, Player Life: 0, Enemy Life: 40.0, Time: 160, Gain: -40.0
Generation 4 - Best Individual for Enemy 3: Fitness: 48.924826, Player Life: 0, Enemy Life: 40.0, Time: 160, Gain: -40.0
Generation 5 - Best Individual for Enemy 3: Fitness: 48.924826, Player Life: 0, Enemy Life: 40.0, Time: 160, Gain: -40.0
Generation 6 - Best Individual for Enemy 3: Fitness: 48.924826, Player Life: 0, Enemy Life: 40.0, Time: 160, Gain: -40.0
Generation 7 - Best Individual for Enemy 3: Fitness: 48.494668, Player Life: 0, Enemy Life: 40.0, Time: 246, Gain: -40.0
Generation 8 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 9 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 10 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 11 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 12 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 13 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 14 - Best Individual for Enemy 3: Fitness: 65.866602, Player Life: 0, Enemy Life: 20.0, Time: 461, Gain: -20.0
Generation 15 - Best Individual for Enemy 3: Fitness: 74.868774, Player Life: 0, Enemy Life: 10.0, Time: 460, Gain: -10.0
Generation 16 - Best Individual for Enemy 3: Fitness: 74.868774, Player Life: 0, Enemy Life: 10.0, Time: 460, Gain: -10.0
Generation 17 - Best Individual for Enemy 3: Fitness: 84.593424, Player Life: 8, Enemy Life: 0, Time: 496, Gain: 8
Generation 18 - Best Individual for Enemy 3: Fitness: 84.593424, Player Life: 8, Enemy Life: 0, Time: 496, Gain: 8
Generation 19 - Best Individual for Enemy 3: Fitness: 74.76363, Player Life: 0, Enemy Life: 10.0, Time: 511, Gain: -10.0
Generation 20 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 21 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 22 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 23 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 24 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 25 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 26 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 27 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
Generation 28 - Best Individual for Enemy 3: Fitness: 86.19141, Player Life: 24, Enemy Life: 0, Time: 497, Gain: 24
