Generation 0: Best Fitness: 87.04126294757822, Per-Enemy Fitness: [np.float64(30.347510819731347), np.float64(91.05275134159977), np.float64(48.30964054567594), np.float64(57.06510580438041)]
Generation 1: Best Fitness: 87.04126294757822, Per-Enemy Fitness: [np.float64(30.347510819731347), np.float64(91.05275134159977), np.float64(48.30964054567594), np.float64(57.06510580438041)]
Generation 2: Best Fitness: 92.60721030688558, Per-Enemy Fitness: [np.float64(30.244257786413087), np.float64(90.51650369121833), np.float64(39.344008189180144), np.float64(89.34704041507841)]
Generation 3: Best Fitness: 92.60721030688558, Per-Enemy Fitness: [np.float64(30.244257786413087), np.float64(90.51650369121833), np.float64(39.344008189180144), np.float64(89.34704041507841)]
Generation 4: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 5: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 6: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 7: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 8: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 9: Best Fitness: 107.25461525849386, Per-Enemy Fitness: [np.float64(56.1498738338545), np.float64(92.39486503108353), np.float64(38.85581436587435), np.float64(86.1946503396656)]
Generation 10: Best Fitness: 121.04630142854475, Per-Enemy Fitness: [np.float64(48.165189262937396), np.float64(90.06687189361196), np.float64(66.21003982910274), np.float64(87.08234767677737)]
Generation 11: Best Fitness: 121.04630142854475, Per-Enemy Fitness: [np.float64(48.165189262937396), np.float64(90.06687189361196), np.float64(66.21003982910274), np.float64(87.08234767677737)]
Generation 12: Best Fitness: 121.04630142854475, Per-Enemy Fitness: [np.float64(48.165189262937396), np.float64(90.06687189361196), np.float64(66.21003982910274), np.float64(87.08234767677737)]
Generation 13: Best Fitness: 121.04630142854475, Per-Enemy Fitness: [np.float64(48.165189262937396), np.float64(90.06687189361196), np.float64(66.21003982910274), np.float64(87.08234767677737)]
Generation 14: Best Fitness: 121.20544813933839, Per-Enemy Fitness: [np.float64(48.20698639161586), np.float64(90.58405089685373), np.float64(66.14492807779757), np.float64(87.05788162462296)]
Generation 15: Best Fitness: 121.20544813933839, Per-Enemy Fitness: [np.float64(48.20698639161586), np.float64(90.58405089685373), np.float64(66.14492807779757), np.float64(87.05788162462296)]
Generation 16: Best Fitness: 121.20544813933839, Per-Enemy Fitness: [np.float64(48.20698639161586), np.float64(90.58405089685373), np.float64(66.14492807779757), np.float64(87.05788162462296)]
Generation 17: Best Fitness: 121.20544813933839, Per-Enemy Fitness: [np.float64(48.20698639161586), np.float64(90.58405089685373), np.float64(66.14492807779757), np.float64(87.05788162462296)]
Generation 18: Best Fitness: 121.20544813933839, Per-Enemy Fitness: [np.float64(48.20698639161586), np.float64(90.58405089685373), np.float64(66.14492807779757), np.float64(87.05788162462296)]
Generation 19: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 20: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 21: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 22: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 23: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 24: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 25: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 26: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 27: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 28: Best Fitness: 133.82920756402785, Per-Enemy Fitness: [np.float64(56.92926227199751), np.float64(91.2187078342906), np.float64(75.10559716573515), np.float64(84.34621389609809)]
Generation 29: Best Fitness: 143.29300344165966, Per-Enemy Fitness: [np.float64(65.83879267830493), np.float64(90.81732261812775), np.float64(66.10284613236325), np.float64(87.05788162462296)]
Generation 30: Best Fitness: 143.29300344165966, Per-Enemy Fitness: [np.float64(65.83879267830493), np.float64(90.81732261812775), np.float64(66.10284613236325), np.float64(87.05788162462296)]
Generation 31: Best Fitness: 143.29300344165966, Per-Enemy Fitness: [np.float64(65.83879267830493), np.float64(90.81732261812775), np.float64(66.10284613236325), np.float64(87.05788162462296)]
Generation 32: Best Fitness: 143.29300344165966, Per-Enemy Fitness: [np.float64(65.83879267830493), np.float64(90.81732261812775), np.float64(66.10284613236325), np.float64(87.05788162462296)]
Generation 33: Best Fitness: 143.29300344165966, Per-Enemy Fitness: [np.float64(65.83879267830493), np.float64(90.81732261812775), np.float64(66.10284613236325), np.float64(87.05788162462296)]
Generation 34: Best Fitness: 143.32732638519397, Per-Enemy Fitness: [np.float64(65.73469878726229), np.float64(90.86901301948917), np.float64(66.1710543823898), np.float64(87.5957442025855)]
Generation 35: Best Fitness: 143.32732638519397, Per-Enemy Fitness: [np.float64(65.73469878726229), np.float64(90.86901301948917), np.float64(66.1710543823898), np.float64(87.5957442025855)]
