
Generation 0 - Best Individual for Enemy 8: Fitness: 88.122264, Player Life: 40.000000000000284, Enemy Life: 0, Time: 357, Gain: 40.000000000000284
Generation 1 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 2 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 3 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 4 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 5 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 6 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 7 - Best Individual for Enemy 8: Fitness: 87.237882, Player Life: 30.40000000000026, Enemy Life: 0, Time: 331, Gain: 30.40000000000026
Generation 8 - Best Individual for Enemy 8: Fitness: 87.237882, Player Life: 30.40000000000026, Enemy Life: 0, Time: 331, Gain: 30.40000000000026
Generation 9 - Best Individual for Enemy 8: Fitness: 87.237882, Player Life: 30.40000000000026, Enemy Life: 0, Time: 331, Gain: 30.40000000000026
Generation 10 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 11 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 12 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 13 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 14 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 15 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 16 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 17 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 18 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 19 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 20 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 21 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 22 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 23 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 24 - Best Individual for Enemy 8: Fitness: 87.057882, Player Life: 28.600000000000257, Enemy Life: 0, Time: 331, Gain: 28.600000000000257
Generation 25 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 26 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 27 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 28 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 29 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 30 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 31 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 32 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 33 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 34 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 35 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 36 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 37 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 38 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 39 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 40 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 41 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 42 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 43 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 44 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 45 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 46 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 47 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 48 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
Generation 49 - Best Individual for Enemy 8: Fitness: 89.403246, Player Life: 50.80000000000031, Enemy Life: 0, Time: 292, Gain: 50.80000000000031
