
Generation 0 - Best Individual for Enemy 8: Fitness: 2.755833, Player Life: 0, Enemy Life: 90.0, Time: 515, Gain: -90.0
Generation 1 - Best Individual for Enemy 8: Fitness: 88.354553, Player Life: 40.000000000000284, Enemy Life: 0, Time: 283, Gain: 40.000000000000284
Generation 2 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 3 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 4 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 5 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 6 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 7 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 8 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 9 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 10 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 11 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 12 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 13 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 14 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
Generation 15 - Best Individual for Enemy 8: Fitness: 87.320213, Player Life: 38.20000000000028, Enemy Life: 0, Time: 665, Gain: 38.20000000000028
