
Generation 0 - Best Individual for Enemy 6: Fitness: 11.817915, Player Life: 0, Enemy Life: 80.0, Time: 484, Gain: -80.0
Generation 1 - Best Individual for Enemy 6: Fitness: 20.801521, Player Life: 0, Enemy Life: 70.0, Time: 492, Gain: -70.0
Generation 2 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 3 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 4 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 5 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 6 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 7 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 8 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 9 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 10 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 11 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 12 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 13 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 14 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 15 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 16 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 17 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 18 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 19 - Best Individual for Enemy 6: Fitness: 29.526109, Player Life: 0, Enemy Life: 60.0, Time: 648, Gain: -60.0
Generation 20 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 21 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 22 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 23 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 24 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 25 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 26 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 27 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 28 - Best Individual for Enemy 6: Fitness: 29.628388, Player Life: 0, Enemy Life: 60.0, Time: 585, Gain: -60.0
Generation 29 - Best Individual for Enemy 6: Fitness: 38.526109, Player Life: 0, Enemy Life: 50.0, Time: 648, Gain: -50.0
Generation 30 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 31 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 32 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 33 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 34 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 35 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 36 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 37 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 38 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 39 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 40 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 41 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 42 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 43 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 44 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 45 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 46 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 47 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 48 - Best Individual for Enemy 6: Fitness: 74.472042, Player Life: 0, Enemy Life: 10.0, Time: 684, Gain: -10.0
Generation 49 - Best Individual for Enemy 6: Fitness: 75.194865, Player Life: 0, Enemy Life: 10.0, Time: 332, Gain: -10.0
