Generation 0: Best Fitness: 89.43380850306386, Per-Enemy Fitness: [np.float64(39.26020708782077), np.float64(92.64704041507838), np.float64(30.17695410451698), np.float64(74.94321598677138)]
Generation 1: Best Fitness: 89.43380850306386, Per-Enemy Fitness: [np.float64(39.26020708782077), np.float64(92.64704041507838), np.float64(30.17695410451698), np.float64(74.94321598677138)]
Generation 2: Best Fitness: 89.43380850306386, Per-Enemy Fitness: [np.float64(39.26020708782077), np.float64(92.64704041507838), np.float64(30.17695410451698), np.float64(74.94321598677138)]
Generation 3: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 4: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 5: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 6: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 7: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 8: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 9: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 10: Best Fitness: 127.13252848902553, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(92.13703951986405), np.float64(56.78139988030827), np.float64(75.21617481767026)]
Generation 11: Best Fitness: 140.52153646269494, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(66.22544845445559), np.float64(89.41585110906252), np.float64(66.2731522524128)]
Generation 12: Best Fitness: 140.52153646269494, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(66.22544845445559), np.float64(89.41585110906252), np.float64(66.2731522524128)]
Generation 13: Best Fitness: 140.52153646269494, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(66.22544845445559), np.float64(89.41585110906252), np.float64(66.2731522524128)]
Generation 14: Best Fitness: 143.50967455140807, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21310261863329), np.float64(65.78139988030827), np.float64(75.1335319430667)]
Generation 15: Best Fitness: 143.50967455140807, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21310261863329), np.float64(65.78139988030827), np.float64(75.1335319430667)]
Generation 16: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 17: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 18: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 19: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 20: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 21: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 22: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 23: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 24: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 25: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 26: Best Fitness: 158.79617760063422, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.22855887686998), np.float64(88.99342407327508), np.float64(75.2634277025208)]
Generation 27: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
Generation 28: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
Generation 29: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
Generation 30: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
Generation 31: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
Generation 32: Best Fitness: 161.6648772465041, Per-Enemy Fitness: [np.float64(75.24742736117437), np.float64(91.49061166337202), np.float64(85.99342407327508), np.float64(92.93833644349735)]
