Generation 0: Best Fitness: 80.23959156541228, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(92.93833644349735)]
Generation 1: Best Fitness: 88.97878980566173, Per-Enemy Fitness: [np.float64(57.23480889721515), np.float64(48.3062678611973), np.float64(47.873130815885816), np.float64(40.500190329669735)]
Generation 2: Best Fitness: 107.14319634605411, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(91.40901301948914), np.float64(65.76951855242152), np.float64(75.49466846406764)]
Generation 3: Best Fitness: 107.14319634605411, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(91.40901301948914), np.float64(65.76951855242152), np.float64(75.49466846406764)]
Generation 4: Best Fitness: 107.14319634605411, Per-Enemy Fitness: [np.float64(39.17991706964764), np.float64(91.40901301948914), np.float64(65.76951855242152), np.float64(75.49466846406764)]
Generation 5: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 6: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 7: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 8: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 9: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 10: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 11: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 12: Best Fitness: 142.80453262400837, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(92.09061166337202), np.float64(65.74424995824663), np.float64(75.1363688244019)]
Generation 13: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 14: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 15: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 16: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 17: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 18: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 19: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 20: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 21: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 22: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 23: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 24: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 25: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 26: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 27: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 28: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 29: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 30: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 31: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 32: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 33: Best Fitness: 159.47307655166213, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(75.21925648420768), np.float64(74.75972415482923), np.float64(94.08936470590375)]
Generation 34: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 35: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 36: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 37: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 38: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 39: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
Generation 40: Best Fitness: 164.37734528439114, Per-Enemy Fitness: [np.float64(94.78506424239102), np.float64(91.49061166337202), np.float64(92.22619038813075), np.float64(75.80150296873417)]
