Generation 35: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 36: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 37: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 38: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 39: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 40: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 41: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 42: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 43: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 44: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 45: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 46: Best Fitness: 161.96860245539762, Per-Enemy Fitness: [np.float64(94.91859563501554), np.float64(90.84704041507838), np.float64(85.38873282559584), np.float64(75.34400818918014)]
Generation 47: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 48: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 49: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
Generation 50: Best Fitness: 154.1194994472325, Per-Enemy Fitness: [np.float64(75.26990021702643), np.float64(91.44704041507838), np.float64(74.88410787451697), np.float64(75.34051778424038)]
