Generation 0: Best Fitness: 82.61695452581841, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(57.35455310235676), np.float64(75.2731522524128)]
Generation 1: Best Fitness: 82.61695452581841, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(57.35455310235676), np.float64(75.2731522524128)]
Generation 2: Best Fitness: 82.61695452581841, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(57.35455310235676), np.float64(75.2731522524128)]
Generation 3: Best Fitness: 92.30089606761672, Per-Enemy Fitness: [np.float64(48.19788162462294), np.float64(39.31982739098293), np.float64(84.01173587691741), np.float64(40.394829814011906)]
Generation 4: Best Fitness: 92.30089606761672, Per-Enemy Fitness: [np.float64(48.19788162462294), np.float64(39.31982739098293), np.float64(84.01173587691741), np.float64(40.394829814011906)]
Generation 5: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 6: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 7: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 8: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 9: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 10: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
Generation 11: Best Fitness: 107.61750926753041, Per-Enemy Fitness: [np.float64(66.23167900420623), np.float64(92.64704041507838), np.float64(39.17991706964764), np.float64(75.6917323025988)]
