
Generation 0 - Best Individual for Enemy 4: Fitness: 11.815851, Player Life: 0, Enemy Life: 80.0, Time: 485, Gain: -80.0
Generation 1 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 2 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 3 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 4 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 5 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 6 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 7 - Best Individual for Enemy 4: Fitness: 65.147757, Player Life: 0, Enemy Life: 20.0, Time: 946, Gain: -20.0
Generation 8 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 9 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 10 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 11 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 12 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 13 - Best Individual for Enemy 4: Fitness: 85.610591, Player Life: 26.20000000000025, Enemy Life: 0, Time: 1107, Gain: 26.20000000000025
Generation 14 - Best Individual for Enemy 4: Fitness: 86.440816, Player Life: 35.20000000000027, Enemy Life: 0, Time: 1187, Gain: 35.20000000000027
Generation 15 - Best Individual for Enemy 4: Fitness: 86.440816, Player Life: 35.20000000000027, Enemy Life: 0, Time: 1187, Gain: 35.20000000000027
Generation 16 - Best Individual for Enemy 4: Fitness: 86.440816, Player Life: 35.20000000000027, Enemy Life: 0, Time: 1187, Gain: 35.20000000000027
Generation 17 - Best Individual for Enemy 4: Fitness: 86.440816, Player Life: 35.20000000000027, Enemy Life: 0, Time: 1187, Gain: 35.20000000000027
Generation 18 - Best Individual for Enemy 4: Fitness: 86.440816, Player Life: 35.20000000000027, Enemy Life: 0, Time: 1187, Gain: 35.20000000000027
