
Generation 0 - Best Individual for Enemy 8: Fitness: 89.514995, Player Life: 55.60000000000032, Enemy Life: 0, Time: 422, Gain: 55.60000000000032
Generation 1 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 2 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 3 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 4 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 5 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 6 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 7 - Best Individual for Enemy 8: Fitness: 83.74826, Player Life: 4.600000000000234, Enemy Life: 0, Time: 822, Gain: 4.600000000000234
Generation 8 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 9 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 10 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 11 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 12 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 13 - Best Individual for Enemy 8: Fitness: 87.915869, Player Life: 43.60000000000029, Enemy Life: 0, Time: 629, Gain: 43.60000000000029
Generation 14 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 15 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 16 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 17 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 18 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 19 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 20 - Best Individual for Enemy 8: Fitness: 75.332245, Player Life: 12.40000000000023, Enemy Life: 10.0, Time: 1000, Gain: 2.4000000000002295
Generation 21 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 22 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 23 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 24 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 25 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 26 - Best Individual for Enemy 8: Fitness: 88.095869, Player Life: 45.4000000000003, Enemy Life: 0, Time: 629, Gain: 45.4000000000003
Generation 27 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 28 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 29 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 30 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 31 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 32 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 33 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 34 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 35 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 36 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 37 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 38 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 39 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 40 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 41 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 42 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 43 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 44 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 45 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 46 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 47 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 48 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
Generation 49 - Best Individual for Enemy 8: Fitness: 69.452245, Player Life: 43.60000000000029, Enemy Life: 20.0, Time: 1000, Gain: 23.600000000000293
