
Generation 0 - Best Individual for Enemy 5: Fitness: 92.394865, Player Life: 82.00000000000017, Enemy Life: 0, Time: 332, Gain: 82.00000000000017
Generation 1 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 2 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 3 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 4 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 5 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 6 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 7 - Best Individual for Enemy 5: Fitness: 90.178422, Player Life: 61.000000000000334, Enemy Life: 0, Time: 373, Gain: 61.000000000000334
Generation 8 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 9 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 10 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 11 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 12 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 13 - Best Individual for Enemy 5: Fitness: 92.4839, Player Life: 79.0000000000002, Enemy Life: 0, Time: 225, Gain: 79.0000000000002
Generation 14 - Best Individual for Enemy 5: Fitness: 91.665869, Player Life: 74.80000000000024, Enemy Life: 0, Time: 335, Gain: 74.80000000000024
Generation 15 - Best Individual for Enemy 5: Fitness: 91.665869, Player Life: 74.80000000000024, Enemy Life: 0, Time: 335, Gain: 74.80000000000024
Generation 16 - Best Individual for Enemy 5: Fitness: 91.665869, Player Life: 74.80000000000024, Enemy Life: 0, Time: 335, Gain: 74.80000000000024
Generation 17 - Best Individual for Enemy 5: Fitness: 91.665869, Player Life: 74.80000000000024, Enemy Life: 0, Time: 335, Gain: 74.80000000000024
