Generation 0: Best Fitness: 84.89641955168955, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(57.344008189180144), np.float64(84.34621389609809)]
Generation 1: Best Fitness: 84.89641955168955, Per-Enemy Fitness: [np.float64(21.40528862039816), np.float64(90.86901301948917), np.float64(57.344008189180144), np.float64(84.34621389609809)]
Generation 2: Best Fitness: 91.15644305653724, Per-Enemy Fitness: [np.float64(30.273152252412803), np.float64(89.53419793370404), np.float64(39.37959913428285), np.float64(84.34621389609809)]
Generation 3: Best Fitness: 91.15644305653724, Per-Enemy Fitness: [np.float64(30.273152252412803), np.float64(89.53419793370404), np.float64(39.37959913428285), np.float64(84.34621389609809)]
Generation 4: Best Fitness: 91.15644305653724, Per-Enemy Fitness: [np.float64(30.273152252412803), np.float64(89.53419793370404), np.float64(39.37959913428285), np.float64(84.34621389609809)]
Generation 5: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 6: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 7: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 8: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 9: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 10: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 11: Best Fitness: 105.7348579323404, Per-Enemy Fitness: [np.float64(47.03870395408983), np.float64(92.4238995977956), np.float64(38.70105075314406), np.float64(89.97157441175592)]
Generation 12: Best Fitness: 111.40229894539326, Per-Enemy Fitness: [np.float64(65.7994908259573), np.float64(92.18889138314545), np.float64(39.51936107665801), np.float64(90.02400818918018)]
Generation 13: Best Fitness: 111.40229894539326, Per-Enemy Fitness: [np.float64(65.7994908259573), np.float64(92.18889138314545), np.float64(39.51936107665801), np.float64(90.02400818918018)]
Generation 14: Best Fitness: 111.40229894539326, Per-Enemy Fitness: [np.float64(65.7994908259573), np.float64(92.18889138314545), np.float64(39.51936107665801), np.float64(90.02400818918018)]
Generation 15: Best Fitness: 119.59202046569054, Per-Enemy Fitness: [np.float64(56.07048322923635), np.float64(92.39486503108353), np.float64(47.77148899640882), np.float64(91.0452886203982)]
Generation 16: Best Fitness: 119.59202046569054, Per-Enemy Fitness: [np.float64(56.07048322923635), np.float64(92.39486503108353), np.float64(47.77148899640882), np.float64(91.0452886203982)]
Generation 17: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 18: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 19: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 20: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 21: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 22: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 23: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
Generation 24: Best Fitness: 137.31789095980636, Per-Enemy Fitness: [np.float64(85.32543794147892), np.float64(92.27931836898449), np.float64(56.815851109062514), np.float64(87.5875519834495)]
