Generation 0: Best Fitness: 75.82989656119028, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.29955642660931)]
Generation 1: Best Fitness: 75.82989656119028, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.29955642660931)]
Generation 2: Best Fitness: 75.83496430228368, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(30.179917069647637), np.float64(75.31982739098294)]
Generation 3: Best Fitness: 91.7816455120371, Per-Enemy Fitness: [np.float64(48.10010264641751), np.float64(92.64704041507838), np.float64(30.17695410451698), np.float64(75.49466846406764)]
Generation 4: Best Fitness: 91.7816455120371, Per-Enemy Fitness: [np.float64(48.10010264641751), np.float64(92.64704041507838), np.float64(30.17695410451698), np.float64(75.49466846406764)]
Generation 5: Best Fitness: 102.60454333670768, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.49061166337202), np.float64(74.75972415482923), np.float64(92.81833644349736)]
Generation 6: Best Fitness: 102.60454333670768, Per-Enemy Fitness: [np.float64(30.269900217026425), np.float64(91.49061166337202), np.float64(74.75972415482923), np.float64(92.81833644349736)]
Generation 7: Best Fitness: 129.76758336063537, Per-Enemy Fitness: [np.float64(57.256996812190515), np.float64(91.04704041507837), np.float64(65.86227294591376), np.float64(75.87603602059674)]
Generation 8: Best Fitness: 129.76758336063537, Per-Enemy Fitness: [np.float64(57.256996812190515), np.float64(91.04704041507837), np.float64(65.86227294591376), np.float64(75.87603602059674)]
Generation 9: Best Fitness: 80.32329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(57.17991706964764), np.float64(66.2731522524128)]
Generation 10: Best Fitness: 84.82329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(66.17991706964764), np.float64(75.2731522524128)]
Generation 11: Best Fitness: 84.82329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(66.17991706964764), np.float64(75.2731522524128)]
Generation 12: Best Fitness: 84.82329551764116, Per-Enemy Fitness: [np.float64(21.269900217026425), np.float64(91.49061166337202), np.float64(66.17991706964764), np.float64(75.2731522524128)]
Generation 13: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 14: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 15: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 16: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 17: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 18: Best Fitness: 134.64032266877112, Per-Enemy Fitness: [np.float64(57.269900217026425), np.float64(91.49061166337202), np.float64(84.84514190598358), np.float64(75.87603602059674)]
Generation 19: Best Fitness: 145.78979244587885, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(84.44302101441444), np.float64(75.87603602059674)]
Generation 20: Best Fitness: 145.78979244587885, Per-Enemy Fitness: [np.float64(66.26990021702643), np.float64(91.49061166337202), np.float64(84.44302101441444), np.float64(75.87603602059674)]
Generation 21: Best Fitness: 152.50786327328842, Per-Enemy Fitness: [np.float64(94.85250552318655), np.float64(91.49061166337202), np.float64(66.17399989261955), np.float64(92.81833644349736)]
