
Generation 0 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 1 - Best Individual for Enemy 3: Fitness: 30.179917, Player Life: 0, Enemy Life: 60.0, Time: 337, Gain: -60.0
Generation 2 - Best Individual for Enemy 3: Fitness: 74.730904, Player Life: 0, Enemy Life: 10.0, Time: 528, Gain: -10.0
Generation 3 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 4 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 5 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 6 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 7 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 8 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 9 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 10 - Best Individual for Enemy 3: Fitness: 86.367552, Player Life: 26, Enemy Life: 0, Time: 509, Gain: 26
Generation 11 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 12 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 13 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 14 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 15 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 16 - Best Individual for Enemy 3: Fitness: 56.725238, Player Life: 0, Enemy Life: 30.0, Time: 531, Gain: -30.0
Generation 17 - Best Individual for Enemy 3: Fitness: 74.723357, Player Life: 0, Enemy Life: 10.0, Time: 532, Gain: -10.0
Generation 18 - Best Individual for Enemy 3: Fitness: 74.723357, Player Life: 0, Enemy Life: 10.0, Time: 532, Gain: -10.0
Generation 19 - Best Individual for Enemy 3: Fitness: 74.723357, Player Life: 0, Enemy Life: 10.0, Time: 532, Gain: -10.0
Generation 20 - Best Individual for Enemy 3: Fitness: 74.723357, Player Life: 0, Enemy Life: 10.0, Time: 532, Gain: -10.0
Generation 21 - Best Individual for Enemy 3: Fitness: 85.813791, Player Life: 20, Enemy Life: 0, Time: 486, Gain: 20
Generation 22 - Best Individual for Enemy 3: Fitness: 85.813791, Player Life: 20, Enemy Life: 0, Time: 486, Gain: 20
Generation 23 - Best Individual for Enemy 3: Fitness: 85.813791, Player Life: 20, Enemy Life: 0, Time: 486, Gain: 20
Generation 24 - Best Individual for Enemy 3: Fitness: 85.813791, Player Life: 20, Enemy Life: 0, Time: 486, Gain: 20
Generation 25 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 26 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 27 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 28 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 29 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 30 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 31 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 32 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 33 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 34 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 35 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 36 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 37 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 38 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 39 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 40 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 41 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 42 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 43 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 44 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 45 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 46 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
Generation 47 - Best Individual for Enemy 3: Fitness: 74.725238, Player Life: 0, Enemy Life: 10.0, Time: 531, Gain: -10.0
